Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 5756368, 5756368, 0, 0, 81628211, 325, 3090102728527
1, 33554432, 9357876, 9357876, 0, 0, 81623413, 325, 3090100002344
2, 33554432, 12959384, 12959384, 0, 0, 81623413, 325, 3090097276161
3, 33554432, 16560892, 16560892, 0, 0, 81623413, 325, 3090094549916
4, 33554432, 20162400, 20162400, 0, 0, 81623413, 325, 3090091823733
5, 33554432, 23763908, 23763908, 0, 0, 81623413, 325, 3090089097550
6, 33554432, 27365416, 27365416, 0, 0, 81623413, 325, 3090086371367
7, 33554432, 30966924, 30966924, 0, 0, 81623413, 325, 3090083645092
8, 100663296, 34572536, 34572536, 0, 0, 81623919, 435647068, 3090067508039
9, 100663296, 38174048, 38174048, 0, 32419632, 81623413, 396, 3090054965253
10, 100663296, 41775560, 41775560, 0, 32419632, 81623413, 396, 3090052238800
11, 100663296, 45377072, 45377072, 0, 32419632, 81623413, 396, 3090049512347
12, 100663296, 48978584, 48978584, 0, 32419632, 81623413, 396, 3090046785924
13, 100663296, 52580096, 52580096, 0, 32419632, 81623413, 396, 3090044059501
14, 100663296, 56181608, 56181608, 0, 32419632, 81623413, 396, 3090041332987
15, 100663296, 59783120, 59783120, 0, 32419632, 81623413, 396, 3090038606564
16, 100663296, 63384632, 63384632, 0, 32419632, 81623413, 396, 3090035880141
17, 100663296, 66986144, 66986144, 0, 32419632, 81623413, 396, 3090033153718
18, 100663296, 70587656, 70587656, 0, 32419632, 81623629, 396, 3090030427227
19, 100663296, 74189168, 74189168, 0, 32419632, 81623413, 396, 3090027700804
20, 100663296, 77790680, 77790680, 0, 32419632, 81623413, 396, 3090024974381
21, 100663296, 81392192, 81392192, 0, 32419632, 81623413, 396, 3090022247928
22, 100663296, 84993704, 84993704, 0, 32419632, 81623413, 396, 3090019521475
23, 100663296, 88595216, 88595216, 0, 32419632, 81623413, 396, 3090016795052
24, 100663296, 92196728, 92196728, 0, 32419632, 81623413, 396, 3090014068629
25, 100663296, 95798240, 95798240, 0, 32419632, 81623413, 396, 3090011342115
26, 134217728, 99403856, 99403856, 0, 32419632, 81623413, 398422866, 3089996350755
27, 167772160, 103005372, 103005372, 0, 32419632, 169214263, 708179400, 3089937727012
28, 167772160, 106606888, 106606888, 0, 100852472, 81623413, 396, 3089930355852
29, 167772160, 110208400, 110208400, 0, 100852472, 81623413, 396, 3089927629399
30, 167772160, 113809912, 113809912, 0, 100852472, 81623413, 396, 3089924902976
31, 167772160, 117411424, 117411424, 0, 100852472, 81623413, 396, 3089922176553
32, 167772160, 121012936, 121012936, 0, 100852472, 81623413, 396, 3089919450070
33, 167772160, 124614448, 124614448, 0, 100852472, 81623413, 396, 3089916723647
34, 167772160, 128215960, 128215960, 0, 100852472, 81623413, 396, 3089913997224
35, 167772160, 131817472, 131817472, 0, 100852472, 81623413, 396, 3089911270801
36, 167772160, 135418984, 135418984, 0, 100852472, 81623646, 396, 3089908544280
37, 167772160, 139020496, 139020496, 0, 100852472, 81623413, 396, 3089905817857
38, 167772160, 142622008, 142622008, 0, 100852472, 81623413, 396, 3089903091434
