Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 4980736, 2802700, 2802700, 0, 0, 47943566, 200, 3090108907540
1, 7798784, 5603928, 5603928, 0, 0, 47940021, 200, 3090107223946
2, 10616832, 8405156, 8405156, 0, 0, 47939947, 200, 3090105540293
3, 13369344, 11206384, 11206384, 0, 0, 47939518, 200, 3090103856715
4, 16187392, 14007612, 14007612, 0, 0, 47939947, 200, 3090102173124
5, 19005440, 16808840, 16808840, 0, 0, 47940021, 200, 3090100489530
6, 21823488, 19610068, 19610068, 0, 0, 47940021, 200, 3090098805936
7, 24576000, 22411296, 22411296, 0, 0, 47939518, 200, 3090097122358
8, 27394048, 25212524, 25212524, 0, 0, 47939947, 200, 3090095438767
9, 30212096, 28013752, 28013752, 0, 0, 47939947, 200, 3090093755176
10, 33030144, 30814980, 30814980, 0, 0, 47939518, 200, 3090092071598
11, 35782656, 33616208, 33616208, 0, 0, 47939518, 200, 3090090387945
12, 38600704, 36417436, 36417436, 0, 0, 47940021, 200, 3090088704351
13, 41418752, 39218664, 39218664, 0, 0, 47939947, 200, 3090087020760
14, 44171264, 42019892, 42019892, 0, 0, 47939518, 200, 3090085337182
15, 46989312, 44821120, 44821120, 0, 0, 47939947, 200, 3090083653591
16, 49807360, 47622348, 47622348, 0, 0, 47939947, 200, 3090081970000
17, 52625408, 50423576, 50423576, 0, 0, 47940021, 200, 3090080286406
18, 55377920, 53224804, 53224804, 0, 0, 47939518, 200, 3090078602828
19, 58195968, 56026032, 56026032, 0, 0, 47940021, 200, 3090076919265
20, 61014016, 58827260, 58827260, 0, 0, 47939947, 200, 3090075235643
21, 63832064, 61628488, 61628488, 0, 0, 47939947, 200, 3090073551990
22, 66584576, 64429716, 64429716, 0, 0, 47939518, 200, 3090071868412
23, 69402624, 67230944, 67230944, 0, 0, 47940021, 200, 3090070184818
24, 72220672, 70032172, 70032172, 0, 0, 47940021, 200, 3090068501224
25, 75038720, 72833400, 72833400, 0, 0, 47939947, 200, 3090066817633
26, 77791232, 75634628, 75634628, 0, 0, 47939518, 200, 3090065134055
27, 80609280, 78435856, 78435856, 0, 0, 47939947, 200, 3090063450464
28, 83427328, 81237084, 81237084, 0, 0, 47940021, 200, 3090061766870
29, 86245376, 84038312, 84038312, 0, 0, 47940021, 200, 3090060083276
30, 88997888, 86839540, 86839540, 0, 0, 47939518, 200, 3090058399636
31, 91815936, 89640768, 89640768, 0, 0, 47939947, 200, 3090056716045
32, 94633984, 92441996, 92441996, 0, 0, 47939947, 200, 3090055032454
33, 97452032, 95243224, 95243224, 0, 0, 47940021, 200, 3090053348860
34, 100204544, 98044452, 98044452, 0, 0, 47939518, 200, 3090051665282
35, 103022592, 100845680, 100845680, 0, 0, 47940021, 200, 3090049981688
36, 105840640, 103646908, 103646908, 0, 0, 47939947, 200, 3090048298097
37, 108658688, 106448136, 106448136, 0, 0, 47939947, 200, 3090046614506
38, 111411200, 109249364, 109249364, 0, 0, 47939518, 200, 3090044930928
39, 114229248, 112050592, 112050592, 0, 0, 47939947, 200, 3090043247275
40, 117047296, 114851820, 114851820, 0, 0, 47940021, 200, 3090041563650
41, 119865344, 117653048, 117653048, 0, 0, 47939947, 200, 3090039880059
42, 122617856, 120454276, 120454276, 0, 0, 47939518, 200, 3090038196481
43, 125435904, 123255504, 123255504, 0, 0, 47939947, 200, 3090036512890
44, 128253952, 126056732, 126056732, 0, 0, 47939947, 200, 3090034829299
45, 131072000, 128857960, 128857960, 0, 0, 47940021, 200, 3090033145705
46, 133824512, 131659188, 131659188, 0, 0, 47939518, 200, 3090031462127
47, 136642560, 134460416, 134460416, 0, 0, 47940021, 200, 3090029778533
48, 139460608, 137261644, 137261644, 0, 0, 47939947, 200, 3090028094942
49, 142213120, 140062872, 140062872, 0, 0, 47939518, 200, 3090026411302
50, 142278656, 140064236, 140064236, 0, 0, 1010022317, 200, 3089995146191
51, 142278656, 140065508, 140065508, 0, 0, 1010021276, 200, 3089963881065
52, 142278656, 140066780, 140066780, 0, 0, 1010021276, 200, 3089932615939
53, 142278656, 140068052, 140068052, 0, 0, 1010021276, 200, 3089901350782
54, 142278656, 140069324, 140069324, 0, 0, 1010021276, 200, 3089870085625
55, 142278656, 140070596, 140070596, 0, 0, 1010021276, 200, 3089838820499
56, 142278656, 140071868, 140071868, 0, 0, 1010021276, 200, 3089807555373
57, 142278656, 140073140, 140073140, 0, 0, 1010021276, 200, 3089776290186
58, 142278656, 140074412, 140074412, 0, 0, 1010021276, 200, 3089745025060
59, 142278656, 140075684, 140075684, 0, 0, 1010021276, 200, 3089713746406
60, 142278656, 140077052, 140077052, 0, 0, 35321990, 200, 3089712471936
61, 142278656, 140078328, 140078328, 0, 0, 35321304, 200, 3089711197687
62, 142278656, 140079604, 140079604, 0, 0, 35321304, 200, 3089709923438
63, 142278656, 140080880, 140080880, 0, 0, 35321304, 200, 3089708649097
64, 142278656, 140082156, 140082156, 0, 0, 35321304, 200, 3089707374818
65, 142278656, 140083432, 140083432, 0, 0, 35321304, 200, 3089706100539
66, 142278656, 140084708, 140084708, 0, 0, 35321304, 200, 3089704826229
67, 142278656, 140085984, 140085984, 0, 0, 35321304, 200, 3089703551950
68, 142278656, 140087260, 140087260, 0, 0, 35321304, 200, 3089702277671
69, 142278656, 140088536, 140088536, 0, 0, 35321304, 200, 3089701003361
70, 142278656, 140089812, 140089812, 0, 0, 35321304, 200, 3089699729051
71, 142278656, 140091088, 140091088, 0, 0, 35321304, 200, 3089698454772
72, 142278656, 140092364, 140092364, 0, 0, 35321304, 200, 3089697180493
73, 142278656, 140093640, 140093640, 0, 0, 35321304, 200, 3089695906152
74, 142278656, 140094916, 140094916, 0, 0, 35321304, 200, 3089694631873
75, 142278656, 140096192, 140096192, 0, 0, 35321304, 200, 3089693357594
76, 142278656, 140097468, 140097468, 0, 0, 35321304, 200, 3089692083222
77, 142278656, 140098744, 140098744, 0, 0, 35321304, 200, 3089690808943
78, 142278656, 140100020, 140100020, 0, 0, 35321304, 200, 3089689534664
79, 142278656, 140101296, 140101296, 0, 0, 35321304, 200, 3089688260323
80, 142278656, 140102572, 140102572, 0, 0, 35321304, 200, 3089686986044
81, 142278656, 140103848, 140103848, 0, 0, 35321304, 200, 3089685711765
82, 142278656, 140105124, 140105124, 0, 0, 35321304, 200, 3089684437455
83, 142278656, 140106400, 140106400, 0, 0, 35321304, 200, 3089683163176
84, 142278656, 140107676, 140107676, 0, 0, 35321304, 200, 3089681888897
85, 142278656, 140109040, 140109040, 0, 0, 505021962, 200, 3089666162259
86, 142278656, 140110312, 140110312, 0, 0, 505021276, 200, 3089650435595
87, 142278656, 140111584, 140111584, 0, 0, 505021276, 200, 3089634708931
88, 142278656, 140112856, 140112856, 0, 0, 505021276, 200, 3089618982267
89, 142278656, 140114128, 140114128, 0, 0, 505021276, 200, 3089603255572
90, 142278656, 140115400, 140115400, 0, 0, 505021276, 200, 3089587528908
91, 142278656, 140116672, 140116672, 0, 0, 505021276, 200, 3089571802244
