Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 35848192, 3740, 32608748, 32605008, 3524, 420852556, 4460197, 190111903576
1, 35848192, 7828, 32612836, 32605008, 3524, 112952, 322, 190888376614
2, 35848192, 19452, 32624460, 32605008, 3524, 245356, 322, 190111326718
3, 35848192, 24188, 32629196, 32605008, 3524, 28806, 322, 190887769999
4, 35848192, 3740, 65229620, 65225880, 3524, 420452164, 4461524, 190097442006
5, 35848192, 7828, 65233708, 65225880, 3524, 112942, 322, 190873915044
6, 35848192, 19452, 65245332, 65225880, 3524, 245346, 322, 190096865179
7, 35848192, 24188, 65250068, 65225880, 3524, 28806, 322, 190873308460
8, 56229888, 4524, 117618892, 117614368, 4308, 685683614, 7136191, 190074587785
9, 56229888, 9772, 117624140, 117614368, 4308, 150332, 322, 190851044315
10, 56229888, 25548, 117639916, 117614368, 4308, 334356, 322, 190073976416
11, 56229888, 31772, 117646140, 117614368, 4308, 34125, 322, 190850390069

