Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 34799616, 3740, 32608748, 32605008, 3524, 420852556, 46584, 190112291011
1, 34799616, 7828, 32612836, 32605008, 3524, 112952, 322, 190888764126
2, 34799616, 19452, 32624460, 32605008, 3524, 245356, 322, 190111714230
3, 34799616, 24188, 32629196, 32605008, 3524, 28806, 322, 190888157511
4, 34865152, 3740, 65229620, 65225880, 3524, 420452164, 46939, 190097965351
5, 34865152, 7828, 65233708, 65225880, 3524, 112942, 322, 190874438466
6, 34865152, 19452, 65245332, 65225880, 3524, 245346, 322, 190097388601
7, 34865152, 24188, 65250068, 65225880, 3524, 28806, 322, 190873831882
8, 54591488, 4524, 117618892, 117614368, 4308, 685688939, 54864, 190075328900
9, 54591488, 9772, 117624140, 117614368, 4308, 150332, 322, 190851785507
10, 54591488, 25548, 117639916, 117614368, 4308, 334356, 322, 190074717608
11, 54591488, 31772, 117646140, 117614368, 4308, 34125, 322, 190851131261

