Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 35848192, 11940, 32625148, 32613208, 3524, 421310129, 7977200, 190110997045
1, 35848192, 16028, 32629236, 32613208, 3524, 113828, 359, 190887469962
2, 35848192, 27652, 32640860, 32613208, 3524, 245839, 359, 190110419984
3, 35848192, 32388, 32645596, 32613208, 3524, 29325, 359, 190886863223
4, 35848192, 16448, 65254220, 65237772, 8032, 420892903, 8007603, 190096412425
5, 35848192, 20540, 65258312, 65237772, 8032, 113818, 359, 190872885202
6, 35848192, 32168, 65269940, 65237772, 8032, 245829, 359, 190095835146
7, 35848192, 36904, 65274676, 65237772, 8032, 29325, 359, 190872278385
8, 56229888, 21740, 117651700, 117629960, 13324, 686422537, 12772590, 190073361352
9, 56229888, 26992, 117656952, 117629960, 13324, 151208, 359, 190849817683
10, 56229888, 42772, 117672732, 117629960, 13324, 334839, 359, 190072749593
11, 56229888, 48996, 117678956, 117629960, 13324, 34644, 359, 190849163266

