Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 100663296, 11510572, 42884708, 31374136, 9331392, 621960815, 10050805, 190100103192
1, 100663296, 11514992, 42889128, 31374136, 9331392, 116559, 325, 190876575444
2, 100663296, 11528856, 42902992, 31374136, 9331392, 289313, 325, 190099523503
3, 100663296, 11533844, 42907980, 31374136, 9331392, 31334, 325, 190875966024
4, 100663296, 18675588, 83602776, 64927188, 16496408, 621665732, 11274266, 190079175664
5, 100663296, 18680008, 83607196, 64927188, 16496408, 116549, 325, 190855648038
6, 100663296, 18693872, 83621060, 64927188, 16496408, 289303, 325, 190078596097
7, 100663296, 18698860, 83626048, 64927188, 16496408, 31334, 325, 190855038527
8, 134217728, 19178220, 149033972, 129855752, 16999040, 1011454103, 18866724, 190045834602
9, 134217728, 19183816, 149039568, 129855752, 16999040, 154267, 325, 190822290417
10, 134217728, 19202600, 149058352, 129855752, 16999040, 395741, 325, 190045219863
11, 134217728, 19209076, 149064828, 129855752, 16999040, 36653, 325, 190821632753

