Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 34799616, 32608748, 32608748, 0, 0, 420852546, 200, 190112505185
1, 34799616, 32612832, 32612832, 0, 0, 112942, 200, 190888978519
2, 34799616, 32624456, 32624456, 0, 0, 245346, 200, 190111928766
3, 34865152, 32629188, 32629188, 0, 0, 28796, 200, 190888372287
4, 67436544, 65229608, 65229608, 0, 0, 420628515, 200, 190098176447
5, 67436544, 65233692, 65233692, 0, 0, 112932, 200, 190874649719
6, 67436544, 65245316, 65245316, 0, 0, 245336, 200, 190097599935
7, 67436544, 65250048, 65250048, 0, 0, 28796, 200, 190874043467
8, 119799808, 117618868, 117618868, 0, 0, 685865719, 200, 190075537006
9, 119799808, 117624112, 117624112, 0, 0, 150322, 200, 190851993925
10, 119865344, 117639888, 117639888, 0, 0, 334701, 200, 190074926158
11, 119865344, 117646108, 117646108, 0, 0, 34115, 200, 190851340124

