Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2228224, 70004, 70004, 0, 0, 88643, 322, 3087776617969
1, 2228224, 74856, 74856, 0, 0, 112874, 322, 3087776427186
2, 2293760, 79512, 79512, 0, 0, 13774, 322, 3090106313213
3, 2359296, 148084, 148084, 0, 0, 88643, 322, 3087775669844
4, 2359296, 152936, 152936, 0, 0, 112874, 322, 3087775478999
5, 2359296, 157592, 157592, 0, 0, 13774, 322, 3090105365068
6, 2424832, 226164, 226164, 0, 0, 88643, 322, 3087774721699
7, 2424832, 231016, 231016, 0, 0, 112874, 322, 3087774530854
8, 2424832, 235672, 235672, 0, 0, 13774, 322, 3090104416923
9, 2490368, 304244, 304244, 0, 0, 88643, 322, 3087773773523
10, 2490368, 309096, 309096, 0, 0, 112874, 322, 3087773582740
11, 2490368, 313752, 313752, 0, 0, 13774, 322, 3090103468809
12, 2555904, 382324, 382324, 0, 0, 88643, 322, 3087772825409
13, 2555904, 387176, 387176, 0, 0, 112874, 322, 3087772634656
14, 2555904, 391832, 391832, 0, 0, 13774, 322, 3090102520725
15, 2621440, 460404, 460404, 0, 0, 88643, 322, 3087771877325
16, 2621440, 465256, 465256, 0, 0, 112874, 322, 3087771686542
17, 2621440, 469912, 469912, 0, 0, 13774, 322, 3090101572611
18, 2752512, 538484, 538484, 0, 0, 88998, 322, 3087770929200
19, 2752512, 543336, 543336, 0, 0, 112874, 322, 3087770738417
20, 2752512, 547992, 547992, 0, 0, 13774, 322, 3090100624486
21, 2818048, 616564, 616564, 0, 0, 88643, 322, 3087769981086
22, 2818048, 621416, 621416, 0, 0, 112874, 322, 3087769790333
23, 2818048, 626072, 626072, 0, 0, 13774, 322, 3090099676402
24, 2883584, 694644, 694644, 0, 0, 88643, 322, 3087769033003
25, 2883584, 699496, 699496, 0, 0, 112874, 322, 3087768842250
26, 2883584, 704152, 704152, 0, 0, 13774, 322, 3090098728319
27, 2949120, 772724, 772724, 0, 0, 88643, 322, 3087768084919
28, 2949120, 777576, 777576, 0, 0, 112874, 322, 3087767894166
29, 2949120, 782232, 782232, 0, 0, 13774, 322, 3090097780235
30, 3080192, 892296, 892296, 0, 0, 256848, 322, 3087767131331
31, 3538944, 110324, 1290268, 1179944, 110108, 11125708, 1169848, 3087766561829
32, 3538944, 384088, 1564032, 1179944, 110108, 13774, 322, 3090093591119
33, 3538944, 494064, 1674008, 1179944, 110108, 256138, 322, 3087762941822
34, 3538944, 892040, 2071984, 1179944, 110108, 11123578, 322, 3087762408705
35, 3538944, 1165804, 2345748, 1179944, 110108, 13774, 322, 3090089438072
36, 3538944, 110116, 2455724, 2345608, 110108, 256138, 1224870, 3087758750158
37, 3538944, 508096, 2853704, 2345608, 110108, 11123578, 322, 3087758216809
38, 3538944, 781860, 3127468, 2345608, 110108, 13774, 322, 3090085246022
39, 3538944, 891840, 3237448, 2345608, 110108, 256138, 322, 3087754596232
40, 3538944, 110324, 3635428, 3525104, 110108, 11123578, 1165349, 3087754026621
41, 3538944, 384088, 3909192, 3525104, 110108, 13774, 322, 3090081055756
42, 3538944, 494068, 4019172, 3525104, 110108, 256138, 322, 3087750405965
43, 3538944, 892048, 4417152, 3525104, 110108, 11123578, 322, 3087749872693
44, 3538944, 1165812, 4690916, 3525104, 110108, 13774, 322, 3090076901906
45, 3538944, 110116, 4800896, 4690780, 110108, 256138, 1224900, 3087746213913
46, 3538944, 508096, 5198876, 4690780, 110108, 11123578, 322, 3087745680564
47, 3538944, 781860, 5472640, 4690780, 110108, 13774, 322, 3090072709777
48, 3538944, 891840, 5582620, 4690780, 110108, 256138, 322, 3087742059987
49, 3538944, 110324, 5980600, 5870276, 110108, 11123578, 1165349, 3087741490406
50, 3538944, 384088, 6254364, 5870276, 110108, 13774, 322, 3090068519541
51, 3538944, 494068, 6364344, 5870276, 110108, 256138, 322, 3087737869750
52, 3538944, 892048, 6762324, 5870276, 110108, 11123578, 322, 3087737336478
53, 3538944, 1165812, 7036088, 5870276, 110108, 13774, 322, 3090064365691
54, 3538944, 110116, 7146068, 7035952, 110108, 256138, 1224900, 3087733677698
55, 3538944, 508096, 7544048, 7035952, 110108, 11123578, 322, 3087733144349
56, 3538944, 781860, 7817812, 7035952, 110108, 13774, 322, 3090060173562
57, 3538944, 891840, 7927792, 7035952, 110108, 256138, 322, 3087729523772
58, 3538944, 110324, 8325772, 8215448, 110108, 11123578, 1165349, 3087728954191
59, 3538944, 384088, 8599536, 8215448, 110108, 13774, 322, 3090055983326
60, 3538944, 616160, 8831608, 8215448, 110108, 708638, 322, 3087725318668
61, 4456448, 232324, 10426388, 10194064, 232108, 44720725, 3636798, 3087723627931
62, 4456448, 1308592, 11502656, 10194064, 232108, 13774, 322, 3090042127618
63, 4456448, 232116, 11734636, 11502520, 232108, 708638, 3809603, 3087711344142
64, 4456448, 232324, 13329416, 13097092, 232108, 44716110, 3581325, 3087709656575
65, 4456448, 1308592, 14405684, 13097092, 232108, 13774, 322, 3090028156262
66, 4456448, 232116, 14637664, 14405548, 232108, 708638, 3809603, 3087697372786
67, 4456448, 232324, 16232444, 16000120, 232108, 44716110, 3581325, 3087695687435
68, 4456448, 1308592, 17308712, 16000120, 232108, 13774, 322, 3090014187122
69, 4456448, 232116, 17540692, 17308576, 232108, 708638, 3809603, 3087683403646
70, 4456448, 232324, 19135472, 18903148, 232108, 44716110, 3581325, 3087681718295
71, 4456448, 1308592, 20211740, 18903148, 232108, 13774, 322, 3090000217982
72, 4456448, 232116, 20443720, 20211604, 232108, 708638, 3809603, 3087669434506
73, 4456448, 232324, 22038500, 21806176, 232108, 44716110, 3581325, 3087667749155
74, 4456448, 1308592, 23114768, 21806176, 232108, 13774, 322, 3089986248842

