Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2228224, 70004, 70004, 0, 0, 88643, 322, 3087777184062
1, 2228224, 74856, 74856, 0, 0, 112874, 322, 3087776993279
2, 2293760, 79512, 79512, 0, 0, 13774, 322, 3090106879306
3, 2359296, 148084, 148084, 0, 0, 88643, 322, 3087776235937
4, 2359296, 152936, 152936, 0, 0, 112874, 322, 3087776045092
5, 2359296, 157592, 157592, 0, 0, 13774, 322, 3090105931161
6, 2424832, 226164, 226164, 0, 0, 88643, 322, 3087775287792
7, 2424832, 231016, 231016, 0, 0, 112874, 322, 3087775096947
8, 2424832, 235672, 235672, 0, 0, 13774, 322, 3090104983016
9, 2490368, 304244, 304244, 0, 0, 88643, 322, 3087774339616
10, 2490368, 309096, 309096, 0, 0, 112874, 322, 3087774148833
11, 2490368, 313752, 313752, 0, 0, 13774, 322, 3090104034902
12, 2555904, 382324, 382324, 0, 0, 88643, 322, 3087773391502
13, 2555904, 387176, 387176, 0, 0, 112874, 322, 3087773200749
14, 2555904, 391832, 391832, 0, 0, 13774, 322, 3090103086818
15, 2621440, 460404, 460404, 0, 0, 88643, 322, 3087772443418
16, 2621440, 465256, 465256, 0, 0, 112874, 322, 3087772252635
17, 2621440, 469912, 469912, 0, 0, 13774, 322, 3090102138704
18, 2752512, 538484, 538484, 0, 0, 88998, 322, 3087771495293
19, 2752512, 543336, 543336, 0, 0, 112874, 322, 3087771304510
20, 2752512, 547992, 547992, 0, 0, 13774, 322, 3090101190579
21, 2818048, 616564, 616564, 0, 0, 88643, 322, 3087770547179
22, 2818048, 621416, 621416, 0, 0, 112874, 322, 3087770356426
23, 2818048, 626072, 626072, 0, 0, 13774, 322, 3090100242495
24, 2883584, 694644, 694644, 0, 0, 88643, 322, 3087769599096
25, 2883584, 699496, 699496, 0, 0, 112874, 322, 3087769408343
26, 2883584, 704152, 704152, 0, 0, 13774, 322, 3090099294412
27, 2949120, 772724, 772724, 0, 0, 88643, 322, 3087768651012
28, 2949120, 777576, 777576, 0, 0, 112874, 322, 3087768460259
29, 2949120, 782232, 782232, 0, 0, 13774, 322, 3090098346328
30, 3080192, 892296, 892296, 0, 0, 256848, 322, 3087767697424
31, 3604480, 110324, 1290268, 1179944, 110108, 11125708, 776878, 3087767139798
32, 3604480, 384088, 1564032, 1179944, 110108, 13774, 322, 3090094169057
33, 3604480, 494064, 1674008, 1179944, 110108, 256138, 322, 3087763519760
34, 3604480, 892040, 2071984, 1179944, 110108, 11123578, 322, 3087762986643
35, 3604480, 1165804, 2345748, 1179944, 110108, 13774, 322, 3090090016010
36, 3604480, 110116, 2455724, 2345608, 110108, 256138, 798843, 3087759340250
37, 3604480, 508096, 2853704, 2345608, 110108, 11123578, 322, 3087758806901
38, 3604480, 781860, 3127468, 2345608, 110108, 13774, 322, 3090085836114
39, 3604480, 891840, 3237448, 2345608, 110108, 256138, 322, 3087755186324
40, 3604480, 110324, 3635428, 3525104, 110108, 11123578, 776168, 3087754627764
41, 3604480, 384088, 3909192, 3525104, 110108, 13774, 322, 3090081656868
42, 3604480, 494068, 4019172, 3525104, 110108, 256138, 322, 3087751007077
43, 3604480, 892048, 4417152, 3525104, 110108, 11123578, 322, 3087750473805
44, 3604480, 1165812, 4690916, 3525104, 110108, 13774, 322, 3090077503018
45, 3604480, 110116, 4800896, 4690780, 110108, 256138, 798843, 3087746827180
46, 3604480, 508096, 5198876, 4690780, 110108, 11123578, 322, 3087746293831
47, 3604480, 781860, 5472640, 4690780, 110108, 13774, 322, 3090073323044
48, 3604480, 891840, 5582620, 4690780, 110108, 256138, 322, 3087742673254
49, 3604480, 110324, 5980600, 5870276, 110108, 11123578, 776168, 3087742114694
50, 3604480, 384088, 6254364, 5870276, 110108, 13774, 322, 3090069143798
51, 3604480, 494068, 6364344, 5870276, 110108, 256138, 322, 3087738494007
52, 3604480, 892048, 6762324, 5870276, 110108, 11123578, 322, 3087737960735
