Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2228224, 78204, 78204, 0, 0, 89050, 359, 3087774887104
1, 2293760, 83056, 83056, 0, 0, 119022, 359, 3087774696053
2, 2293760, 87712, 87712, 0, 0, 14203, 359, 3090104581886
3, 2359296, 156284, 156284, 0, 0, 89050, 359, 3087773938300
4, 2359296, 161136, 161136, 0, 0, 118667, 359, 3087773747199
5, 2359296, 165792, 165792, 0, 0, 14203, 359, 3090103633063
6, 2424832, 234364, 234364, 0, 0, 89050, 359, 3087772989477
7, 2424832, 239216, 239216, 0, 0, 118667, 359, 3087772798376
8, 2424832, 243872, 243872, 0, 0, 14203, 359, 3090102684240
9, 2490368, 312444, 312444, 0, 0, 89050, 359, 3087772040624
10, 2490368, 317296, 317296, 0, 0, 118667, 359, 3087771849584
11, 2490368, 321952, 321952, 0, 0, 14203, 359, 3090101735447
12, 2555904, 390524, 390524, 0, 0, 89050, 359, 3087771091831
13, 2555904, 395376, 395376, 0, 0, 118667, 359, 3087770900822
14, 2555904, 400032, 400032, 0, 0, 14203, 359, 3090100786685
15, 2621440, 468604, 468604, 0, 0, 89050, 359, 3087770143069
16, 2686976, 473456, 473456, 0, 0, 119096, 359, 3087769952016
17, 2686976, 478112, 478112, 0, 0, 14203, 359, 3090099837879
18, 2752512, 546684, 546684, 0, 0, 89050, 359, 3087769194263
19, 2752512, 551536, 551536, 0, 0, 118667, 359, 3087769003223
20, 2752512, 556192, 556192, 0, 0, 14203, 359, 3090098889086
21, 2818048, 624764, 624764, 0, 0, 89050, 359, 3087768245470
22, 2818048, 629616, 629616, 0, 0, 118667, 359, 3087768054461
23, 2818048, 634272, 634272, 0, 0, 14203, 359, 3090097940324
24, 2883584, 702844, 702844, 0, 0, 89050, 359, 3087767296707
25, 2883584, 707696, 707696, 0, 0, 118667, 359, 3087767105698
26, 2883584, 712352, 712352, 0, 0, 14203, 359, 3090096991561
27, 2949120, 780924, 780924, 0, 0, 89050, 359, 3087766347944
28, 2949120, 785776, 785776, 0, 0, 118667, 359, 3087766156935
29, 2949120, 790432, 790432, 0, 0, 14203, 359, 3090096042798
30, 3080192, 900496, 900496, 0, 0, 257255, 359, 3087765393673
31, 3473408, 1298468, 1298468, 0, 0, 11666101, 359, 3087764844097
32, 3735552, 1572228, 1572228, 0, 0, 14203, 359, 3090091873527
33, 3866624, 1682200, 1682200, 0, 0, 257255, 359, 3087761224427
34, 4259840, 2080172, 2080172, 0, 0, 11666101, 359, 3087760674851
35, 4521984, 2353932, 2353932, 0, 0, 14203, 359, 3090087704281
36, 4653056, 2463908, 2463908, 0, 0, 257255, 359, 3087757055025
37, 5046272, 2861884, 2861884, 0, 0, 11666101, 359, 3087756505263
38, 5308416, 3135644, 3135644, 0, 0, 14203, 359, 3090083534538
39, 5439488, 3245620, 3245620, 0, 0, 257255, 359, 3087752885282
40, 5832704, 3643596, 3643596, 0, 0, 11666101, 359, 3087752335520
41, 6094848, 3917356, 3917356, 0, 0, 14203, 359, 3090079364795
42, 6225920, 4027332, 4027332, 0, 0, 257255, 359, 3087748715570
43, 6619136, 4425308, 4425308, 0, 0, 11666101, 359, 3087748165777
44, 6881280, 4699068, 4699068, 0, 0, 14203, 359, 3090075195083
45, 7012352, 4809044, 4809044, 0, 0, 257255, 359, 3087744545797
46, 7405568, 5207020, 5207020, 0, 0, 11666101, 359, 3087743996035
47, 7667712, 5480780, 5480780, 0, 0, 14203, 359, 3090071025310
48, 7798784, 5590756, 5590756, 0, 0, 257255, 359, 3087740376054
49, 8192000, 5988732, 5988732, 0, 0, 11666101, 359, 3087739826323
50, 8454144, 6262492, 6262492, 0, 0, 14203, 359, 3090066855598
51, 8585216, 6372468, 6372468, 0, 0, 257255, 359, 3087736206342
52, 8978432, 6770444, 6770444, 0, 0, 11666101, 359, 3087735656611
53, 9240576, 7044204, 7044204, 0, 0, 14203, 359, 3090062685886
54, 9306112, 7154180, 7154180, 0, 0, 256900, 359, 3087732036641
55, 9764864, 7552156, 7552156, 0, 0, 11666530, 359, 3087731486897
56, 10027008, 7825916, 7825916, 0, 0, 14203, 359, 3090058516172
57, 10092544, 7935892, 7935892, 0, 0, 256900, 359, 3087727866927
58, 10485760, 8333868, 8333868, 0, 0, 11666101, 359, 3087727317165
59, 11010048, 82760, 8615828, 8533068, 1992, 14489, 359, 3090054279619
60, 11010048, 314828, 8847896, 8533068, 1992, 709170, 359, 3087723615232
61, 11010048, 1909608, 10442676, 8533068, 1992, 46876593, 359, 3087721971986
62, 11010048, 2985872, 11518940, 8533068, 1992, 14293, 359, 3090040471787
63, 11010048, 3217852, 11750920, 8533068, 1992, 709135, 359, 3087709807319
64, 11010048, 4812632, 13345700, 8533068, 1992, 46876667, 359, 3087708164025
65, 11010048, 5888896, 14421964, 8533068, 1992, 14293, 359, 3090026663810
66, 11010048, 6120876, 14653944, 8533068, 1992, 709135, 359, 3087695999096
67, 11010048, 7715656, 16248724, 8533068, 1992, 46876593, 359, 3087694355805
68, 11010048, 331192, 17333188, 17001996, 38624, 14489, 359, 3090012787434
69, 11010048, 563172, 17565168, 17001996, 38624, 709170, 359, 3087682122625
70, 11010048, 2157952, 19159948, 17001996, 38624, 46876593, 359, 3087680479302
71, 11010048, 3234216, 20236212, 17001996, 38624, 14293, 359, 3089998979009
72, 11010048, 3466196, 20468192, 17001996, 38624, 709135, 359, 3087668314249
73, 11010048, 5060976, 22062972, 17001996, 38624, 46876667, 359, 3087666670816
74, 11010048, 6137240, 23139236, 17001996, 38624, 14293, 359, 3089985170523

