Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 33554432, 2230228, 2230228, 0, 0, 90084, 315
1, 33554432, 2236264, 2236264, 0, 0, 112283, 315
2, 33554432, 2241644, 2241644, 0, 0, 15081, 315
3, 33554432, 2310736, 2310736, 0, 0, 90081, 315
4, 33554432, 2316772, 2316772, 0, 0, 112283, 315
5, 33554432, 2322152, 2322152, 0, 0, 15081, 315
6, 33554432, 2391244, 2391244, 0, 0, 90081, 315
7, 33554432, 2397280, 2397280, 0, 0, 112283, 315
8, 33554432, 2402660, 2402660, 0, 0, 15081, 315
9, 33554432, 2471752, 2471752, 0, 0, 90081, 315
10, 33554432, 2477788, 2477788, 0, 0, 112283, 315
11, 33554432, 2483168, 2483168, 0, 0, 15081, 315
12, 33554432, 2552260, 2552260, 0, 0, 90081, 315
13, 33554432, 2558296, 2558296, 0, 0, 112283, 315
14, 33554432, 2563676, 2563676, 0, 0, 15081, 315
15, 33554432, 2632768, 2632768, 0, 0, 90081, 315
16, 33554432, 2638804, 2638804, 0, 0, 112283, 315
17, 33554432, 2644184, 2644184, 0, 0, 15081, 315
18, 33554432, 2713276, 2713276, 0, 0, 90081, 315
19, 33554432, 2719312, 2719312, 0, 0, 112283, 315
20, 33554432, 2724692, 2724692, 0, 0, 15081, 315
21, 33554432, 2793784, 2793784, 0, 0, 90081, 315
22, 33554432, 2799820, 2799820, 0, 0, 112283, 315
23, 33554432, 2805200, 2805200, 0, 0, 15081, 315
24, 33554432, 2874292, 2874292, 0, 0, 90081, 315
25, 33554432, 2880328, 2880328, 0, 0, 112283, 315
26, 33554432, 2885708, 2885708, 0, 0, 15081, 315
27, 33554432, 2954800, 2954800, 0, 0, 90081, 315
28, 33554432, 2960836, 2960836, 0, 0, 112283, 315
29, 33554432, 2966216, 2966216, 0, 0, 15081, 315
30, 33554432, 3077184, 3077184, 0, 0, 256221, 315
31, 33554432, 3584520, 3584520, 0, 0, 10650076, 315
32, 33554432, 3899680, 3899680, 0, 0, 15081, 315
33, 33554432, 4010532, 4010532, 0, 0, 256221, 315
34, 33554432, 4517868, 4517868, 0, 0, 10650076, 315
35, 33554432, 4833028, 4833028, 0, 0, 15081, 315
36, 33554432, 4943880, 4943880, 0, 0, 256221, 315
37, 33554432, 5451216, 5451216, 0, 0, 10650076, 315
38, 33554432, 5766376, 5766376, 0, 0, 15081, 315
39, 33554432, 5877228, 5877228, 0, 0, 256221, 315
40, 33554432, 6384564, 6384564, 0, 0, 10650076, 315
41, 33554432, 6699724, 6699724, 0, 0, 15081, 315
42, 33554432, 6810576, 6810576, 0, 0, 256221, 315
43, 33554432, 7317912, 7317912, 0, 0, 10650076, 315
44, 33554432, 7633072, 7633072, 0, 0, 15081, 315
45, 33554432, 7743924, 7743924, 0, 0, 256221, 315
46, 33554432, 8251260, 8251260, 0, 0, 10650076, 315
47, 33554432, 8566420, 8566420, 0, 0, 15081, 315
48, 33554432, 8677272, 8677272, 0, 0, 256221, 315
49, 33554432, 9184608, 9184608, 0, 0, 10650076, 315
50, 33554432, 9499768, 9499768, 0, 0, 15081, 315
51, 33554432, 9610620, 9610620, 0, 0, 256221, 315
52, 33554432, 10117956, 10117956, 0, 0, 10650076, 315
53, 33554432, 10433116, 10433116, 0, 0, 15081, 315
54, 33554432, 10543968, 10543968, 0, 0, 256221, 315
55, 33554432, 11051304, 11051304, 0, 0, 10650076, 315
56, 33554432, 11366464, 11366464, 0, 0, 15081, 315
57, 33554432, 11477316, 11477316, 0, 0, 256221, 315
58, 33554432, 11984652, 11984652, 0, 0, 10650076, 315
59, 33554432, 12299812, 12299812, 0, 0, 15081, 315
60, 33554432, 12533180, 12533180, 0, 0, 706821, 315
61, 33554432, 14566516, 14566516, 0, 0, 42774076, 315
62, 33554432, 15805376, 15805376, 0, 0, 15081, 315
63, 33554432, 16038628, 16038628, 0, 0, 706821, 315
64, 33554432, 18071964, 18071964, 0, 0, 42774076, 315
65, 33554432, 19310824, 19310824, 0, 0, 15081, 315
66, 33554432, 19544076, 19544076, 0, 0, 706821, 315
67, 33554432, 21577412, 21577412, 0, 0, 42774076, 315
68, 33554432, 22816272, 22816272, 0, 0, 15081, 315
69, 33554432, 23049524, 23049524, 0, 0, 706821, 315
70, 33554432, 25082860, 25082860, 0, 0, 42774076, 315
71, 33554432, 26321720, 26321720, 0, 0, 15081, 315
72, 33554432, 26554972, 26554972, 0, 0, 706821, 315
73, 33554432, 28588308, 28588308, 0, 0, 42774076, 315
74, 33554432, 29827168, 29827168, 0, 0, 15081, 315

