Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 2228224, 70004, 70004, 0, 0, 87051, 200
1, 2293760, 74772, 74772, 0, 0, 84366, 200
2, 2293760, 79344, 79344, 0, 0, 13194, 200
3, 2359296, 147832, 147832, 0, 0, 87048, 200
4, 2359296, 152600, 152600, 0, 0, 83941, 200
5, 2359296, 157172, 157172, 0, 0, 13194, 200
6, 2424832, 225660, 225660, 0, 0, 87048, 200
7, 2424832, 230428, 230428, 0, 0, 83941, 200
8, 2424832, 235000, 235000, 0, 0, 13194, 200
9, 2490368, 303488, 303488, 0, 0, 87048, 200
10, 2490368, 308256, 308256, 0, 0, 83941, 200
11, 2490368, 312828, 312828, 0, 0, 13194, 200
12, 2555904, 381316, 381316, 0, 0, 87048, 200
13, 2555904, 386084, 386084, 0, 0, 83941, 200
14, 2555904, 390656, 390656, 0, 0, 13194, 200
15, 2621440, 459144, 459144, 0, 0, 87048, 200
16, 2621440, 463912, 463912, 0, 0, 83941, 200
17, 2686976, 468484, 468484, 0, 0, 13194, 200
18, 2752512, 536972, 536972, 0, 0, 87048, 200
19, 2752512, 541740, 541740, 0, 0, 83941, 200
20, 2752512, 546312, 546312, 0, 0, 13194, 200
21, 2818048, 614800, 614800, 0, 0, 87048, 200
22, 2818048, 619568, 619568, 0, 0, 83941, 200
23, 2818048, 624140, 624140, 0, 0, 13194, 200
24, 2883584, 692628, 692628, 0, 0, 87048, 200
25, 2883584, 697396, 697396, 0, 0, 83941, 200
26, 2883584, 701968, 701968, 0, 0, 13194, 200
27, 2949120, 770456, 770456, 0, 0, 87048, 200
28, 2949120, 775224, 775224, 0, 0, 83941, 200
29, 2949120, 779796, 779796, 0, 0, 13194, 200
30, 3080192, 889776, 889776, 0, 0, 249864, 200
31, 3473408, 1287664, 1287664, 0, 0, 7915649, 200
32, 3735552, 1561340, 1561340, 0, 0, 13194, 200
33, 3866624, 1671228, 1671228, 0, 0, 249864, 200
34, 4259840, 2069116, 2069116, 0, 0, 7915649, 200
35, 4521984, 2342792, 2342792, 0, 0, 13194, 200
36, 4653056, 2452684, 2452684, 0, 0, 249864, 200
37, 5046272, 2850576, 2850576, 0, 0, 7915649, 200
38, 5308416, 3124252, 3124252, 0, 0, 13194, 200
39, 5439488, 3234144, 3234144, 0, 0, 249864, 200
40, 5832704, 3632036, 3632036, 0, 0, 7915649, 200
41, 6094848, 3905712, 3905712, 0, 0, 13194, 200
42, 6225920, 4015604, 4015604, 0, 0, 249864, 200
43, 6619136, 4413496, 4413496, 0, 0, 7915649, 200
44, 6881280, 4687172, 4687172, 0, 0, 13194, 200
45, 7012352, 4797064, 4797064, 0, 0, 249864, 200
46, 7405568, 5194956, 5194956, 0, 0, 7915649, 200
47, 7667712, 5468632, 5468632, 0, 0, 13194, 200
48, 7798784, 5578524, 5578524, 0, 0, 249864, 200
49, 8192000, 5976416, 5976416, 0, 0, 7915649, 200
50, 8454144, 6250092, 6250092, 0, 0, 13194, 200
51, 8519680, 6359984, 6359984, 0, 0, 249498, 200
52, 8978432, 6757876, 6757876, 0, 0, 7916074, 200
53, 9240576, 7031552, 7031552, 0, 0, 13194, 200
54, 9306112, 7141444, 7141444, 0, 0, 249498, 200
55, 9699328, 7539336, 7539336, 0, 0, 7915649, 200
56, 10027008, 7813012, 7813012, 0, 0, 13194, 200
57, 10092544, 7922904, 7922904, 0, 0, 249498, 200
58, 10485760, 8320796, 8320796, 0, 0, 7915649, 200
59, 10813440, 8594472, 8594472, 0, 0, 13194, 200
60, 11010048, 8826456, 8826456, 0, 0, 696730, 200
61, 12582912, 10421148, 10421148, 0, 0, 31805599, 200
62, 13697024, 11497324, 11497324, 0, 0, 13194, 200
63, 13893632, 11729216, 11729216, 0, 0, 696730, 200
64, 15532032, 13323908, 13323908, 0, 0, 31806024, 200
65, 16580608, 14400084, 14400084, 0, 0, 13194, 200
66, 16842752, 14631976, 14631976, 0, 0, 697096, 200
67, 18415616, 16226668, 16226668, 0, 0, 31805599, 200
68, 19464192, 17302844, 17302844, 0, 0, 13194, 200
69, 19726336, 17534736, 17534736, 0, 0, 697096, 200
70, 21299200, 19129428, 19129428, 0, 0, 31805599, 200
71, 22413312, 20205604, 20205604, 0, 0, 13194, 200
72, 22609920, 20437496, 20437496, 0, 0, 696730, 200
73, 24248320, 22032188, 22032188, 0, 0, 31806024, 200
74, 25296896, 23108364, 23108364, 0, 0, 13194, 200

