Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 12058624, 521980, 9596784, 9074804, 521764, 67349368, 16959425, 3090104697406
1, 14090240, 1041980, 20591924, 19549944, 1041764, 77818801, 30084056, 3090101104056
2, 15138816, 1561980, 32123424, 30561444, 1561764, 81948587, 43092081, 3090096979081
3, 15990784, 2081980, 43982188, 41900208, 2081764, 84199757, 56073418, 3090092382767
4, 16908288, 2601980, 56170236, 53568256, 2601764, 86832307, 69055270, 3090087303333
5, 17498112, 3121980, 68445260, 65323280, 3121764, 87583658, 82000689, 3090081801505
6, 18284544, 3641980, 80941556, 77299576, 3641764, 89142904, 94968165, 3090075850855
7, 18939904, 4161980, 93562700, 89400720, 4161764, 89777068, 107923885, 3090069480916
8, 19660800, 4681980, 106369136, 101687156, 4681764, 91385692, 120882497, 3090062661185
9, 20381696, 5201980, 119338832, 114136852, 5201764, 92797541, 133839898, 3090055397970
10, 20774912, 5721980, 132189080, 126467100, 5721764, 91763998, 146759636, 3090047769887
11, 21561344, 6241980, 145288916, 139046936, 6241764, 93925828, 159731740, 3090039674083
12, 22413312, 6761980, 158684024, 151922044, 6761764, 96489647, 172711085, 3090031097628
13, 22544384, 7281980, 171681456, 164399476, 7281764, 92315695, 185591017, 3090022256251
14, 23330816, 7801980, 184900252, 177098272, 7801764, 94152753, 198555049, 3090012957610
15, 24051712, 8321980, 198323708, 190001728, 8321764, 95923861, 211520926, 3090003203830
16, 24576000, 8841980, 211735536, 202893556, 8841764, 95823137, 224459069, 3089993055022
17, 25296896, 9361980, 225336724, 215974744, 9361764, 97468238, 237420852, 3089982455172
18, 25886720, 9881980, 238959980, 229078000, 9881764, 97655328, 250356996, 3089971451253
19, 26542080, 10401980, 252676008, 242274028, 10401764, 98459463, 263305149, 3089960023325
20, 26542080, 10403304, 252677332, 242274028, 10401764, 467130257, 322, 3089945461983
21, 26542080, 10404536, 252678564, 242274028, 10401764, 467129571, 322, 3089930900770
22, 26542080, 10405768, 252679796, 242274028, 10401764, 467129571, 322, 3089916339465
23, 26542080, 10407000, 252681028, 242274028, 10401764, 467129571, 322, 3089901778221
24, 26542080, 10408232, 252682260, 242274028, 10401764, 467129571, 322, 3089887216977
25, 29491200, 9881980, 268761248, 258879268, 10401764, 88078459, 298602201, 3089874933525
26, 29491200, 9361980, 284655840, 275293860, 10401764, 86624907, 239402228, 3089864581886
27, 29491200, 8841980, 300550264, 291708284, 10401764, 86623854, 222172840, 3089854766815
28, 29491200, 8321980, 316444736, 308122756, 10401764, 86625251, 216925659, 3089845102014
29, 29491200, 7801980, 332339360, 324537380, 10401764, 86625413, 196971599, 3089836061610
30, 29491200, 7281980, 348233976, 340951996, 10401764, 86624913, 183554695, 3089827434880
31, 29491200, 6761980, 364034244, 357272264, 10401764, 86129272, 170669514, 3089819220606
32, 29491200, 6241980, 379048668, 372806688, 10401764, 81983706, 158780117, 3089811504239
33, 29491200, 5721980, 394063332, 388341352, 10401764, 81984090, 147541756, 3089804131286
34, 29491200, 5201980, 409077876, 403875896, 10401764, 81983880, 131945791, 3089797242246
35, 29491200, 5203308, 409079204, 403875896, 10401764, 219750861, 322, 3089790292391
36, 29491200, 5204540, 409080436, 403875896, 10401764, 219750175, 322, 3089783342743
37, 29491200, 5205772, 409081668, 403875896, 10401764, 219750175, 322, 3089776393095
38, 29491200, 5207004, 409082900, 403875896, 10401764, 219750175, 322, 3089769443417
39, 29491200, 5208236, 409084132, 403875896, 10401764, 219750175, 322, 3089762493739
40, 29491200, 5721980, 421450956, 415728976, 10401764, 87574656, 146698653, 3089755000128
41, 29491200, 6241980, 434178052, 427936072, 10401764, 90693871, 159681217, 3089747008060
42, 29491200, 6761980, 447109484, 440347504, 10401764, 92467003, 172642759, 3089738560895
43, 29491200, 7281980, 459992244, 452710264, 10401764, 92043403, 185576686, 3089729729073
44, 29491200, 7801980, 473060260, 465258280, 10401764, 93650102, 198536429, 3089720447484
45, 29491200, 8321980, 486215252, 477893272, 10401764, 94405596, 211485402, 3089710743419
46, 29491200, 8841980, 499430904, 490588924, 10401764, 94569112, 224429982, 3089700635443
