Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 12320768, 521980, 9596784, 9074804, 521764, 67349368, 12070876, 3090105412098
1, 14745600, 1041980, 20591924, 19549944, 1041764, 77817381, 24113716, 3090101994064
2, 16318464, 1561980, 32123424, 30561444, 1561764, 81945037, 36156556, 3090098069646
3, 17694720, 2081980, 43982188, 41900208, 2081764, 84197272, 48195491, 3090093692915
4, 19070976, 2601980, 56170236, 53568256, 2601764, 86829822, 60235491, 3090088860690
5, 20185088, 3121980, 68445260, 65323280, 3121764, 87582948, 72274071, 3090083634965
6, 21430272, 3641980, 80941556, 77299576, 3641764, 89141129, 84314781, 3090077967828
7, 22609920, 4161980, 93562700, 89400720, 4161764, 89776358, 96354426, 3090071921802
8, 23855104, 4681980, 106369136, 101687156, 4681764, 91384627, 108394781, 3090065444126
9, 25034752, 5201980, 119338832, 114136852, 5201764, 92796476, 120434426, 3090058538681
10, 25952256, 5721980, 132189080, 126467100, 5721764, 91763998, 132473006, 3090051307848
11, 27262976, 6241980, 145288916, 139046936, 6241764, 93924763, 144515136, 3090043627788
12, 28573696, 6761980, 158684024, 151922044, 6761764, 96488227, 156555136, 3090035497160
13, 29229056, 7281980, 171681456, 164399476, 7281764, 92315695, 168591586, 3090027083673
14, 30474240, 7801980, 184900252, 177098272, 7801764, 94152043, 180634781, 3090018273646
15, 31719424, 8321980, 198323708, 190001728, 8321764, 95923506, 192674781, 3090009038220
16, 32768000, 8841980, 211735536, 202893556, 8841764, 95823137, 204713716, 3089999414039
17, 34013184, 9361980, 225336724, 215974744, 9361764, 97467883, 216754781, 3089989379525
18, 35061760, 9881980, 238959980, 229078000, 9881764, 97655328, 228793716, 3089978958384
19, 36175872, 10401980, 252676008, 242274028, 10401764, 98459463, 240834071, 3089968106120
20, 36175872, 10403304, 252677332, 242274028, 10401764, 467130257, 322, 3089953544778
21, 36175872, 10404536, 252678564, 242274028, 10401764, 467129571, 322, 3089938983565
22, 36175872, 10405768, 252679796, 242274028, 10401764, 467129571, 322, 3089924422260
23, 36175872, 10407000, 252681028, 242274028, 10401764, 467129571, 322, 3089909861016
24, 36175872, 10408232, 252682260, 242274028, 10401764, 467129571, 322, 3089895299772
25, 38535168, 9881980, 268761248, 258879268, 10401764, 88067099, 228800816, 3089885135143
26, 38535168, 9361980, 284655836, 275293856, 10401764, 86625943, 216748036, 3089875389464
27, 38535168, 8841980, 300550260, 291708280, 10401764, 86623854, 204708036, 3089866020418
28, 38535168, 8321980, 316444732, 308122752, 10401764, 86625251, 192668036, 3089857025636
29, 38535168, 7801980, 332339356, 324537376, 10401764, 86625413, 180628036, 3089848419126
30, 38535168, 7281980, 348233972, 340951992, 10401764, 86624913, 168588036, 3089840177185
31, 38535168, 6761980, 364034240, 357272260, 10401764, 86129272, 156548036, 3089832318433
32, 38535168, 6241980, 379048664, 372806684, 10401764, 81983706, 144508036, 3089824969484
33, 38535168, 5721980, 394063328, 388341348, 10401764, 81984090, 132468036, 3089817995446
34, 38535168, 5201980, 409077872, 403875892, 10401764, 81983880, 120428036, 3089811397937
35, 38535168, 5203308, 409079200, 403875892, 10401764, 219750861, 322, 3089804448082
36, 38535168, 5204540, 409080432, 403875892, 10401764, 219750175, 322, 3089797498434
37, 38535168, 5205772, 409081664, 403875892, 10401764, 219750175, 322, 3089790548786
