Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 12058624, 530180, 9613184, 9083004, 521764, 69259955, 25867866, 3090102606895
1, 14024704, 1051024, 20616524, 19565500, 1042608, 80629818, 26189280, 3090099046934
2, 15138816, 1571904, 32156224, 30584320, 1563488, 84760847, 26324799, 3090095351541
3, 15990784, 2092856, 44023188, 41930332, 2084440, 87009960, 26401677, 3090091582025
4, 16842752, 2613772, 56219436, 53605664, 2605356, 89643176, 26478938, 3090087726556
5, 17432576, 3134724, 68502660, 65367936, 3126308, 90394512, 26497877, 3090083846492
6, 18219008, 3655712, 81007156, 77351444, 3647296, 91953610, 26557136, 3090079915002
7, 18874368, 4176700, 93636500, 89459800, 4168284, 92588647, 26583258, 3090075962184
8, 19595264, 4697652, 106451136, 101753484, 4689236, 94196842, 26630773, 3090071957006
9, 20250624, 5218748, 119429032, 114210284, 5210332, 95608173, 26672181, 3090067905836
10, 20643840, 5739736, 132287480, 126547744, 5731320, 94574719, 26638476, 3090063888363
11, 21430272, 6260832, 145395516, 139134684, 6252416, 96737762, 26706917, 3090059800383
12, 22282240, 6781856, 158798824, 152016968, 6773440, 99299598, 26775821, 3090055629180
13, 22347776, 7303024, 171804456, 164501432, 7294608, 95125528, 26684067, 3090051592280
14, 23134208, 7824048, 185031452, 177207404, 7815632, 96963577, 26732205, 3090047495651
15, 23855104, 8345144, 198463108, 190117964, 8336728, 98735928, 26782521, 3090043341278
16, 24379392, 8866132, 211883136, 203017004, 8857716, 98635397, 26778692, 3090039190301
17, 25100288, 9387120, 225492524, 216105404, 9378704, 100278766, 26823842, 3090034985893
18, 25624576, 9908252, 239123980, 229215728, 9899836, 100466996, 26838956, 3090030775043
19, 26214400, 10429348, 252848208, 242418860, 10420932, 101272433, 26857325, 3090026538107
20, 26214400, 10430672, 252849532, 242418860, 10420932, 474331235, 359, 3090011755083
21, 26214400, 10431904, 252850764, 242418860, 10420932, 474330198, 359, 3089996972294
22, 26214400, 10433136, 252851996, 242418860, 10420932, 474330198, 359, 3089982189505
23, 26214400, 10434368, 252853228, 242418860, 10420932, 474330198, 359, 3089967406620
24, 26214400, 10435600, 252854460, 242418860, 10420932, 474330198, 359, 3089952623800
25, 29229056, 10430700, 268941648, 258510948, 10422284, 91251406, 3976744, 3089949384592
26, 29229056, 10431940, 284844436, 274412496, 10423524, 89796664, 3924236, 3089946191697
27, 29229056, 10433108, 300747060, 290313952, 10424692, 89795019, 3921728, 3089943000236
28, 29229056, 10434348, 316649732, 306215384, 10425932, 89795824, 3925288, 3089939808484
29, 29229056, 10435552, 332552556, 322117004, 10427136, 89795616, 3922491, 3089936616950
30, 29229056, 10436792, 348455372, 338018580, 10428376, 89795782, 3924614, 3089933425315
31, 29229056, 10438104, 364263840, 353825736, 10429688, 89299623, 3905606, 3089930249593
32, 29229056, 10439272, 379286464, 368847192, 10430856, 85153465, 3709346, 3089927210715
33, 29229056, 10440548, 394309328, 383868780, 10432132, 85155847, 3714611, 3089924174924
34, 29229056, 10441716, 409332072, 398890356, 10433300, 85154897, 3710554, 3089921139226
35, 29229056, 10443044, 409333400, 398890356, 10433300, 223351839, 359, 3089914078490
36, 29229056, 10444276, 409334632, 398890356, 10433300, 223350802, 359, 3089907018066
37, 29229056, 10445508, 409335864, 398890356, 10433300, 223350802, 359, 3089899957642
38, 29229056, 10446740, 409337096, 398890356, 10433300, 223350802, 359, 3089892897156
39, 29229056, 10447972, 409338328, 398890356, 10433300, 223350802, 359, 3089885836701
40, 29229056, 10962564, 421713352, 410750788, 10954148, 90384881, 26520061, 3089881955576
41, 29229056, 11483516, 434448648, 422965132, 11475100, 93506368, 26612364, 3089877972669
42, 29229056, 12004468, 447388280, 435383812, 11996052, 95277798, 26656670, 3089873932293
43, 29229056, 12525492, 460279240, 447753748, 12517076, 94853532, 26653590, 3089869905436
44, 29229056, 13046444, 473355456, 460309012, 13038028, 96461267, 26691010, 3089865826512
45, 29229056, 13567432, 486518648, 472951216, 13559016, 97215799, 26718635, 3089861722784
46, 29360128, 14088456, 499742500, 485654044, 14080040, 97380203, 26732305, 3089857613207
47, 29818880, 14609444, 512891884, 498282440, 14601028, 96288486, 26706848, 3089853538559
48, 30539776, 15130396, 526226380, 511095984, 15121980, 97896023, 26750997, 3089849411674
49, 31195136, 15651492, 539724388, 524072896, 15643076, 99310737, 26797905, 3089845238524
50, 31195136, 15652792, 539725688, 524072896, 15643076, 16460, 359, 3089845049584
51, 31195136, 16171984, 549329236, 533157252, 16163568, 69204945, 25841776, 3089841862574
52, 31195136, 16692828, 560332580, 543639752, 16684412, 80621239, 26187075, 3089838302573
53, 31195136, 17213708, 571872284, 554658576, 17205292, 84756054, 26323074, 3089834607039
54, 31653888, 17734660, 583739252, 566004592, 17726244, 87008940, 26402579, 3089830837185
55, 32505856, 18255576, 595935504, 577679928, 18247160, 89643102, 26479856, 3089826981348
56, 33095680, 18776528, 608218732, 589442204, 18768112, 90395548, 26497913, 3089823101127
57, 33816576, 19297516, 620723232, 601425716, 19289100, 91953107, 26557334, 3089819169368
58, 34471936, 19818504, 633352580, 613534076, 19810088, 92587759, 26582000, 3089815216460
59, 35192832, 20339456, 646167220, 625827764, 20331040, 94197863, 26629067, 3089811211116
60, 35913728, 20860552, 659145120, 638284568, 20852136, 95608528, 26673851, 3089807159728
61, 36306944, 21381540, 672003572, 650622032, 21373124, 94575237, 26641304, 3089803142027
62, 37093376, 21902636, 685111612, 663208976, 21894220, 96736963, 26707083, 3089799053788
