Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 13950968, 13950968, 0, 0, 125796598, 325, 3090098942372
1, 33554432, 27466632, 27466632, 0, 0, 144765256, 325, 3090094198779
2, 100663296, 11800204, 41644788, 29844584, 9646464, 152157411, 104069452, 3090085809238
3, 100663296, 26377468, 56222052, 29844584, 9646464, 156353198, 325, 3090080700532
4, 100663296, 10770408, 71207108, 60436700, 9646464, 160999562, 176127855, 3090069809399
5, 100663296, 25857664, 86294364, 60436700, 9646464, 162294356, 325, 3090064514042
6, 100663296, 13977108, 101658152, 87681044, 11823368, 165171930, 242959889, 3090051430036
7, 100663296, 29491844, 117172888, 87681044, 11823368, 166514330, 325, 3090046001572
8, 100663296, 50611476, 132918196, 87681044, 11823368, 169276169, 300939590, 3090030968706
9, 100663296, 32997796, 148858940, 115861144, 14903928, 171702736, 325, 3090025081288
10, 100663296, 55219808, 164657796, 115861144, 14903928, 169927925, 325459688, 3090009240058
11, 100663296, 39918660, 180757600, 140838940, 21665732, 173641131, 396, 3090002076838
12, 100663296, 56379352, 197218292, 140838940, 21665732, 178040659, 396, 3089996286790
13, 134217728, 79248532, 213201008, 140838940, 21665732, 171282647, 327370116, 3089980258012
14, 134217728, 32408736, 229450652, 197041916, 21665732, 174482201, 325, 3089969347773
15, 134217728, 55635824, 245954540, 197041916, 21665732, 177526678, 338903370, 3089952990806
16, 134217728, 41573940, 262440112, 220866172, 22935244, 177355286, 396, 3089940526923
17, 134217728, 58290952, 279157124, 220866172, 22935244, 180176739, 396, 3089934669210
18, 134217728, 75525396, 295905212, 220866172, 22935244, 180502658, 216780592, 3089922014370
19, 134217728, 38802064, 312762584, 273960520, 22935244, 181883323, 396, 3089901900136
20, 134217728, 38803692, 312764212, 273960520, 22935244, 513200354, 396, 3089885921049
21, 134217728, 38805204, 312765724, 273960520, 22935244, 513198950, 396, 3089869941928
22, 134217728, 38806716, 312767236, 273960520, 22935244, 513198950, 396, 3089853962714
23, 134217728, 38808228, 312768748, 273960520, 22935244, 513198950, 396, 3089837983562
24, 134217728, 38809740, 312770260, 273960520, 22935244, 513198950, 396, 3089822004410
25, 134217728, 58569992, 332530512, 273960520, 22935244, 180671997, 396, 3089816108333
26, 134217728, 79875296, 352069488, 273960520, 22935244, 178149929, 241734235, 3089802809756
27, 134217728, 44208728, 371604156, 327395428, 22935244, 178147644, 396, 3089784688096
28, 134217728, 63743452, 391138880, 327395428, 22935244, 178148501, 396, 3089778871466
29, 134217728, 88888920, 410677896, 327395428, 22935244, 178150542, 304977424, 3089763582526
30, 134217728, 47462500, 430212800, 382750300, 25774476, 178149643, 396, 3089750599706
31, 134217728, 66881612, 449631912, 382750300, 25774476, 177124772, 396, 3089744815468
32, 134217728, 93020924, 468090680, 382750300, 25774476, 168577661, 343337644, 3089728617533
33, 134217728, 46520512, 486545644, 440025132, 25912428, 168580682, 396, 3089720322541
34, 134217728, 64975324, 505000456, 440025132, 25912428, 168578691, 396, 3089714808490
35, 134217728, 64976952, 505002084, 440025132, 25912428, 241587988, 396, 3089707186676
36, 134217728, 64978464, 505003596, 440025132, 25912428, 241586584, 396, 3089699564936
37, 134217728, 64979976, 505005108, 440025132, 25912428, 241586584, 396, 3089691943165
38, 134217728, 64981488, 505006620, 440025132, 25912428, 241586584, 396, 3089684321394
39, 134217728, 64983000, 505008132, 440025132, 25912428, 241586584, 396, 3089676699623
40, 134217728, 86685020, 520216140, 440025132, 25912428, 162731476, 318289558, 3089661492220
41, 134217728, 37373884, 535860372, 498486488, 25912428, 168092533, 396, 3089654004196
42, 134217728, 53267856, 551754344, 498486488, 25912428, 171135833, 396, 3089648430725
43, 134217728, 75992888, 567592932, 498486488, 25912428, 170409068, 327134589, 3089632480041
44, 134217728, 29092572, 583653844, 554561272, 25912428, 173168844, 325, 3089621489993
45, 134217728, 51987084, 599825160, 554561272, 25912428, 174464002, 338550763, 3089605263864
46, 134217728, 37818384, 616068500, 578250116, 25912428, 174949580, 396, 3089592723022
47, 134217728, 53973164, 632223280, 578250116, 25912428, 173324866, 396, 3089587080166
48, 134217728, 70844644, 648608412, 578250116, 25912428, 176084059, 216455327, 3089574591122
49, 134217728, 34019936, 665189292, 631169356, 25912428, 178514344, 396, 3089554415683
50, 134217728, 34021512, 665190868, 631169356, 25912428, 19541, 396, 3089554226682
51, 134217728, 45817448, 676986804, 631169356, 25912428, 125793297, 396, 3089550079244
52, 134217728, 25895792, 690506580, 664610788, 25912428, 144765256, 50039577, 3089543765754
53, 134217728, 40069856, 704680644, 664610788, 25912428, 152157104, 396, 3089538789016
54, 134217728, 54647120, 719257908, 664610788, 25912428, 156353198, 396, 3089533680303
55, 134217728, 69628072, 734238860, 664610788, 25912428, 160999596, 396, 3089528425609
56, 134217728, 22857496, 749330220, 726472724, 25912428, 162294356, 202864657, 3089516356638
57, 134217728, 38217184, 764689908, 726472724, 25912428, 165171913, 396, 3089510970490
58, 134217728, 53731920, 780204644, 726472724, 25912428, 166514330, 396, 3089505542080
59, 134217728, 75144396, 795949952, 726472724, 25912428, 169276186, 294859585, 3089490506038
60, 134217728, 26129760, 811890700, 785760940, 25912428, 171702736, 325, 3089484052976
