Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 11796480, 9596704, 9596704, 0, 0, 57535607, 200
1, 22806528, 20591712, 20591712, 0, 0, 66657437, 200
2, 34340864, 32123080, 32123080, 0, 0, 70268126, 200
3, 46137344, 43981712, 43981712, 0, 0, 72174971, 200
4, 58327040, 56169628, 56169628, 0, 0, 74494993, 200
5, 70647808, 68444520, 68444520, 0, 0, 75173135, 200
6, 83099648, 80940684, 80940684, 0, 0, 76497948, 200
7, 95748096, 93561696, 93561696, 0, 0, 76980955, 200
8, 108527616, 106368000, 106368000, 0, 0, 78424948, 200
9, 121503744, 119337564, 119337564, 0, 0, 79694677, 200
10, 134348800, 132187680, 132187680, 0, 0, 78766661, 200
11, 147456000, 145287384, 145287384, 0, 0, 80707772, 200
12, 160890880, 158682360, 158682360, 0, 0, 83008676, 200
13, 173867008, 171679660, 171679660, 0, 0, 79119340, 200
14, 187105280, 184898324, 184898324, 0, 0, 80750564, 200
15, 200540160, 198321648, 198321648, 0, 0, 82340999, 200
16, 213909504, 211733344, 211733344, 0, 0, 82252094, 200
17, 227540992, 225334400, 225334400, 0, 0, 83728924, 200
18, 241172480, 238957524, 238957524, 0, 0, 83897599, 200
19, 254869504, 252673420, 252673420, 0, 0, 84619368, 200
20, 254869504, 252674612, 252674612, 0, 0, 433429095, 200
21, 254869504, 252675712, 252675712, 0, 0, 433428540, 200
22, 254869504, 252676812, 252676812, 0, 0, 433428540, 200
23, 254869504, 252677912, 252677912, 0, 0, 433428540, 200
24, 254869504, 252679012, 252679012, 0, 0, 433428540, 200
25, 270925824, 268757868, 268757868, 0, 0, 73061669, 200
26, 286851072, 284652328, 284652328, 0, 0, 71777721, 200
27, 302710784, 300546620, 300546620, 0, 0, 71777142, 200
28, 318636032, 316440960, 316440960, 0, 0, 71777229, 200
29, 334495744, 332335452, 332335452, 0, 0, 71778411, 200
30, 350420992, 348229936, 348229936, 0, 0, 71778619, 200
31, 366215168, 364030072, 364030072, 0, 0, 71365510, 200
32, 381222912, 379044364, 379044364, 0, 0, 67920994, 200
33, 396230656, 394058896, 394058896, 0, 0, 67922194, 200
34, 411238400, 409073308, 409073308, 0, 0, 67921300, 200
35, 411238400, 409074504, 409074504, 0, 0, 203556721, 200
36, 411238400, 409075608, 409075608, 0, 0, 203556166, 200
37, 411238400, 409076712, 409076712, 0, 0, 203556166, 200
38, 411238400, 409077816, 409077816, 0, 0, 203556166, 200
39, 411238400, 409078920, 409078920, 0, 0, 203556166, 200
40, 423624704, 421445616, 421445616, 0, 0, 75004960, 200
41, 436338688, 434172580, 434172580, 0, 0, 77805894, 200
42, 449314816, 447103880, 447103880, 0, 0, 79398080, 200
43, 462159872, 459986508, 459986508, 0, 0, 79016722, 200
44, 475267072, 473054392, 473054392, 0, 0, 80460853, 200
45, 488374272, 486209252, 486209252, 0, 0, 81136837, 200
46, 501612544, 499424772, 499424772, 0, 0, 81214731, 200
47, 514785280, 512565824, 512565824, 0, 0, 80144985, 200
48, 528089088, 525891988, 525891988, 0, 0, 81588508, 200
49, 541589504, 539381664, 539381664, 0, 0, 82858089, 200
50, 541589504, 539382832, 539382832, 0, 0, 15703, 200
51, 551157760, 548978048, 548978048, 0, 0, 57532959, 200
52, 562167808, 559973060, 559973060, 0, 0, 66657437, 200
53, 573702144, 571504432, 571504432, 0, 0, 70270296, 200
54, 585564160, 583363068, 583363068, 0, 0, 72175215, 200
55, 597753856, 595550988, 595550988, 0, 0, 74495671, 200
56, 610009088, 607825884, 607825884, 0, 0, 75172209, 200
57, 622526464, 620322052, 620322052, 0, 0, 76499184, 200
58, 635109376, 632943068, 632943068, 0, 0, 76980897, 200
59, 647954432, 645749376, 645749376, 0, 0, 78425998, 200
60, 660930560, 658718944, 658718944, 0, 0, 79693995, 200
61, 673775616, 671569064, 671569064, 0, 0, 78766537, 200
62, 686882816, 684668772, 684668772, 0, 0, 80707338, 200
63, 700252160, 698063752, 698063752, 0, 0, 83008060, 200
64, 713228288, 711061056, 711061056, 0, 0, 79118782, 200
65, 726466560, 724279724, 724279724, 0, 0, 80750316, 200
66, 739901440, 737703052, 737703052, 0, 0, 82341619, 200
67, 753270784, 751114752, 751114752, 0, 0, 82252342, 200
68, 766902272, 764715812, 764715812, 0, 0, 83728676, 200
69, 780533760, 778338940, 778338940, 0, 0, 83898839, 200
70, 794230784, 792054840, 792054840, 0, 0, 84619492, 200
71, 794230784, 792056036, 792056036, 0, 0, 433429095, 200
72, 794230784, 792057140, 792057140, 0, 0, 433428540, 200
73, 794230784, 792058244, 792058244, 0, 0, 433428540, 200
74, 794230784, 792059348, 792059348, 0, 0, 433428540, 200
75, 794230784, 792060452, 792060452, 0, 0, 433428540, 200

