Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2162688, 2728, 2728, 0, 0, 30695, 322, 3090107419000
1, 2162688, 3792, 3792, 0, 0, 13824, 322, 3090883934831
2, 2162688, 5304, 5304, 0, 0, 16747, 322, 3090106929573
3, 2162688, 6948, 6948, 0, 0, 306830, 322, 3090106732977
4, 2162688, 8032, 8032, 0, 0, 14550, 322, 3090883248377
5, 2162688, 9544, 9544, 0, 0, 16747, 322, 3090106242996
6, 2162688, 11188, 11188, 0, 0, 323853, 322, 3090106045846
7, 2162688, 12272, 12272, 0, 0, 14550, 322, 3090882561216
8, 2228224, 13784, 13784, 0, 0, 17176, 322, 3090105555822
9, 2228224, 15428, 15428, 0, 0, 306722, 322, 3090105359230
10, 2228224, 16512, 16512, 0, 0, 14550, 322, 3090881874600
11, 2228224, 17908, 17908, 0, 0, 16500, 322, 3090104869073
12, 2228224, 20692, 20692, 0, 0, 14865, 322, 3090881377280
13, 2228224, 22148, 22148, 0, 0, 30695, 322, 3090104371277
14, 2228224, 23212, 23212, 0, 0, 13824, 322, 3090880886828
15, 2228224, 24724, 24724, 0, 0, 16747, 322, 3090103881323
16, 2228224, 26368, 26368, 0, 0, 306830, 322, 3090103684541
17, 2228224, 27452, 27452, 0, 0, 14550, 322, 3090880199755
18, 2228224, 28964, 28964, 0, 0, 16747, 322, 3090103194250
19, 2228224, 30608, 30608, 0, 0, 323853, 322, 3090102996944
20, 2228224, 31692, 31692, 0, 0, 14550, 322, 3090879512158
21, 2228224, 33204, 33204, 0, 0, 16747, 322, 3090102506653
22, 2228224, 34848, 34848, 0, 0, 306722, 322, 3090102309874
23, 2228224, 35932, 35932, 0, 0, 14550, 322, 3090878825088
24, 2228224, 37328, 37328, 0, 0, 16500, 322, 3090101819591
25, 2228224, 40112, 40112, 0, 0, 14865, 322, 3090878327767
26, 2228224, 41568, 41568, 0, 0, 30695, 322, 3090101321795
27, 2228224, 42632, 42632, 0, 0, 13824, 322, 3090877837254
28, 2228224, 44144, 44144, 0, 0, 16747, 322, 3090100831749
29, 2228224, 45788, 45788, 0, 0, 306830, 322, 3090100634997
30, 2228224, 46872, 46872, 0, 0, 14550, 322, 3090877150119
31, 2228224, 48384, 48384, 0, 0, 16747, 322, 3090100144614
32, 2228224, 50028, 50028, 0, 0, 323853, 322, 3090099947338
