Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 2162688, 2648, 2648, 0, 0, 25933, 317
1, 2162688, 3588, 3588, 0, 0, 13239, 317
2, 2162688, 4936, 4936, 0, 0, 15956, 317
3, 2162688, 6456, 6456, 0, 0, 229146, 317
4, 2228224, 7416, 7416, 0, 0, 14311, 317
5, 2228224, 8764, 8764, 0, 0, 15956, 317
6, 2228224, 10284, 10284, 0, 0, 241482, 317
7, 2228224, 11244, 11244, 0, 0, 13886, 317
8, 2228224, 12592, 12592, 0, 0, 15956, 317
9, 2228224, 14112, 14112, 0, 0, 228901, 317
10, 2228224, 15072, 15072, 0, 0, 13886, 317
11, 2228224, 16304, 16304, 0, 0, 15759, 317
12, 2228224, 18964, 18964, 0, 0, 14211, 317
13, 2228224, 20256, 20256, 0, 0, 25933, 317
14, 2228224, 21196, 21196, 0, 0, 13239, 317
15, 2228224, 22544, 22544, 0, 0, 15956, 317
16, 2228224, 24064, 24064, 0, 0, 229146, 317
17, 2228224, 25024, 25024, 0, 0, 13886, 317
18, 2228224, 26372, 26372, 0, 0, 15956, 317
19, 2228224, 27892, 27892, 0, 0, 241482, 317
20, 2228224, 28852, 28852, 0, 0, 13886, 317
21, 2228224, 30200, 30200, 0, 0, 15956, 317
22, 2228224, 31720, 31720, 0, 0, 228901, 317
23, 2228224, 32680, 32680, 0, 0, 13886, 317
24, 2228224, 33912, 33912, 0, 0, 15759, 317
25, 2228224, 36572, 36572, 0, 0, 14211, 317
26, 2228224, 37864, 37864, 0, 0, 25933, 317
27, 2228224, 38804, 38804, 0, 0, 13239, 317
28, 2228224, 40152, 40152, 0, 0, 15956, 317
29, 2228224, 41672, 41672, 0, 0, 229146, 317
30, 2228224, 42632, 42632, 0, 0, 13886, 317
31, 2228224, 43980, 43980, 0, 0, 15956, 317
32, 2228224, 45500, 45500, 0, 0, 241482, 317
33, 2228224, 46460, 46460, 0, 0, 13886, 317
34, 2228224, 47808, 47808, 0, 0, 15956, 317
35, 2228224, 49328, 49328, 0, 0, 228901, 317
36, 2228224, 50288, 50288, 0, 0, 13886, 317
37, 2228224, 51520, 51520, 0, 0, 15759, 317
38, 2228224, 54180, 54180, 0, 0, 14211, 317
39, 2228224, 55472, 55472, 0, 0, 25933, 317
40, 2228224, 56412, 56412, 0, 0, 13239, 317
41, 2228224, 57760, 57760, 0, 0, 15956, 317
42, 2228224, 59280, 59280, 0, 0, 229146, 317
