Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2162688, 10928, 10928, 0, 0, 35678, 359, 3090105697385
1, 2162688, 11992, 11992, 0, 0, 14253, 359, 3090882213178
2, 2228224, 13504, 13504, 0, 0, 17403, 359, 3090105207870
3, 2228224, 15148, 15148, 0, 0, 310601, 359, 3090105011142
4, 2228224, 16232, 16232, 0, 0, 14979, 359, 3090881526505
5, 2228224, 17744, 17744, 0, 0, 16974, 359, 3090104521086
6, 2228224, 19388, 19388, 0, 0, 327589, 359, 3090104323649
7, 2228224, 20472, 20472, 0, 0, 14979, 359, 3090880838825
8, 2228224, 21984, 21984, 0, 0, 16974, 359, 3090103833251
9, 2228224, 23628, 23628, 0, 0, 310633, 359, 3090103636366
10, 2228224, 24712, 24712, 0, 0, 14979, 359, 3090880151542
11, 2228224, 26108, 26108, 0, 0, 16727, 359, 3090103145976
12, 2228224, 28892, 28892, 0, 0, 15294, 359, 3090879654057
13, 2228224, 30348, 30348, 0, 0, 35678, 359, 3090102647839
14, 2228224, 31412, 31412, 0, 0, 14253, 359, 3090879163354
15, 2228224, 32924, 32924, 0, 0, 16974, 359, 3090102157811
16, 2228224, 34568, 34568, 0, 0, 310601, 359, 3090101960896
17, 2228224, 35652, 35652, 0, 0, 14979, 359, 3090878476072
18, 2228224, 37164, 37164, 0, 0, 16974, 359, 3090101470529
19, 2228224, 38808, 38808, 0, 0, 327589, 359, 3090101273092
20, 2228224, 39892, 39892, 0, 0, 14979, 359, 3090877788268
21, 2228224, 41404, 41404, 0, 0, 16974, 359, 3090100782725
22, 2228224, 43048, 43048, 0, 0, 310633, 359, 3090100585810
23, 2228224, 44132, 44132, 0, 0, 14979, 359, 3090877100986
24, 2228224, 45528, 45528, 0, 0, 16727, 359, 3090100095451
25, 2228224, 48312, 48312, 0, 0, 15294, 359, 3090876603470
26, 2228224, 49768, 49768, 0, 0, 35678, 359, 3090099597282
27, 2228224, 50832, 50832, 0, 0, 14253, 359, 3090876112705
28, 2228224, 52344, 52344, 0, 0, 16974, 359, 3090099107162
29, 2228224, 53988, 53988, 0, 0, 310601, 359, 3090098910278
30, 2228224, 55072, 55072, 0, 0, 14979, 359, 3090875425363
31, 2228224, 56584, 56584, 0, 0, 16974, 359, 3090098419820
