Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 2156304, 2156304, 0, 0, 37017, 325, 3090103150570
1, 33554432, 2157608, 2157608, 0, 0, 16081, 325, 3090879665810
2, 33554432, 2159452, 2159452, 0, 0, 19311, 325, 3090102659869
3, 33554432, 2161424, 2161424, 0, 0, 316805, 325, 3090102462582
4, 33554432, 2162752, 2162752, 0, 0, 16832, 325, 3090878977452
5, 33554432, 2164596, 2164596, 0, 0, 19311, 325, 3090101971371
6, 33554432, 2166568, 2166568, 0, 0, 333852, 325, 3090101773560
7, 33554432, 2167896, 2167896, 0, 0, 16832, 325, 3090878288337
8, 33554432, 2169740, 2169740, 0, 0, 19311, 325, 3090101282349
9, 33554432, 2171712, 2171712, 0, 0, 316759, 325, 3090101085033
10, 33554432, 2173040, 2173040, 0, 0, 16832, 325, 3090877599903
11, 33554432, 2174748, 2174748, 0, 0, 18565, 325, 3090100593939
12, 33554432, 2178164, 2178164, 0, 0, 17047, 325, 3090877101331
13, 33554432, 2179948, 2179948, 0, 0, 37017, 325, 3090100094753
14, 33554432, 2181252, 2181252, 0, 0, 16081, 325, 3090876609963
15, 33554432, 2183096, 2183096, 0, 0, 19311, 325, 3090099604053
16, 33554432, 2185068, 2185068, 0, 0, 316805, 325, 3090099406674
17, 33554432, 2186396, 2186396, 0, 0, 16832, 325, 3090875921544
18, 33554432, 2188240, 2188240, 0, 0, 19311, 325, 3090098915525
19, 33554432, 2190212, 2190212, 0, 0, 333852, 325, 3090098717714
20, 33554432, 2191540, 2191540, 0, 0, 16832, 325, 3090875232584
21, 33554432, 2193384, 2193384, 0, 0, 19311, 325, 3090098226534
22, 33554432, 2195356, 2195356, 0, 0, 316759, 325, 3090098029249
23, 33554432, 2196684, 2196684, 0, 0, 16832, 325, 3090874544026
24, 33554432, 2198392, 2198392, 0, 0, 18565, 325, 3090097538062
25, 33554432, 2201808, 2201808, 0, 0, 17047, 325, 3090874045516
26, 33554432, 2203592, 2203592, 0, 0, 37017, 325, 3090097038969
27, 33554432, 2204896, 2204896, 0, 0, 16081, 325, 3090873554086
28, 33554432, 2206740, 2206740, 0, 0, 19311, 325, 3090096548176
29, 33554432, 2208712, 2208712, 0, 0, 316805, 325, 3090096350859
30, 33554432, 2210040, 2210040, 0, 0, 16832, 325, 3090872865729
31, 33554432, 2211884, 2211884, 0, 0, 19311, 325, 3090095859741
32, 33554432, 2213856, 2213856, 0, 0, 333852, 325, 3090095661837
33, 33554432, 2215184, 2215184, 0, 0, 16832, 325, 3090872176707
34, 33554432, 2217028, 2217028, 0, 0, 19311, 325, 3090095170688
