Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 2162688, 2728, 2728, 0, 0, 25986, 200
1, 2162688, 3708, 3708, 0, 0, 13234, 200
2, 2162688, 5136, 5136, 0, 0, 16009, 200
3, 2162688, 6696, 6696, 0, 0, 229141, 200
4, 2228224, 7696, 7696, 0, 0, 13881, 200
5, 2228224, 9124, 9124, 0, 0, 16009, 200
6, 2228224, 10684, 10684, 0, 0, 241477, 200
7, 2228224, 11684, 11684, 0, 0, 13881, 200
8, 2228224, 13112, 13112, 0, 0, 16009, 200
9, 2228224, 14672, 14672, 0, 0, 228896, 200
10, 2228224, 15672, 15672, 0, 0, 13881, 200
11, 2228224, 16984, 16984, 0, 0, 15812, 200
12, 2228224, 19684, 19684, 0, 0, 14206, 200
13, 2228224, 21056, 21056, 0, 0, 25986, 200
14, 2228224, 22036, 22036, 0, 0, 13234, 200
15, 2228224, 23464, 23464, 0, 0, 16009, 200
16, 2228224, 25024, 25024, 0, 0, 229141, 200
17, 2228224, 26024, 26024, 0, 0, 13881, 200
18, 2228224, 27452, 27452, 0, 0, 16009, 200
19, 2228224, 29012, 29012, 0, 0, 241477, 200
20, 2228224, 30012, 30012, 0, 0, 13881, 200
21, 2228224, 31440, 31440, 0, 0, 16009, 200
22, 2228224, 33000, 33000, 0, 0, 228896, 200
23, 2228224, 34000, 34000, 0, 0, 13881, 200
24, 2228224, 35312, 35312, 0, 0, 15812, 200
25, 2228224, 38012, 38012, 0, 0, 14206, 200
26, 2228224, 39384, 39384, 0, 0, 25986, 200
27, 2228224, 40364, 40364, 0, 0, 13234, 200
28, 2228224, 41792, 41792, 0, 0, 16009, 200
29, 2228224, 43352, 43352, 0, 0, 229141, 200
30, 2228224, 44352, 44352, 0, 0, 13881, 200
31, 2228224, 45780, 45780, 0, 0, 16009, 200
32, 2228224, 47340, 47340, 0, 0, 241477, 200
33, 2228224, 48340, 48340, 0, 0, 13881, 200
34, 2228224, 49768, 49768, 0, 0, 16009, 200
35, 2228224, 51328, 51328, 0, 0, 228896, 200
36, 2228224, 52328, 52328, 0, 0, 13881, 200
37, 2228224, 53640, 53640, 0, 0, 15812, 200
38, 2228224, 56340, 56340, 0, 0, 14206, 200
39, 2228224, 57712, 57712, 0, 0, 25986, 200
40, 2228224, 58692, 58692, 0, 0, 13234, 200
41, 2228224, 60120, 60120, 0, 0, 16009, 200
42, 2228224, 61680, 61680, 0, 0, 229141, 200
43, 2228224, 62680, 62680, 0, 0, 13881, 200
44, 2228224, 64108, 64108, 0, 0, 16009, 200
45, 2228224, 65668, 65668, 0, 0, 241477, 200
