Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 3866624, 555988, 1662892, 1106904, 555772, 126601057, 8022088, 3090103337817
1, 3866624, 1386756, 2493660, 1106904, 555772, 99903688, 322, 3090100068618
2, 4915200, 1247260, 3739192, 2491932, 1247044, 113245561, 17806798, 3090095833608
3, 5373952, 1869404, 5606872, 3737468, 1869188, 133257917, 26568403, 3090090713444
4, 7012352, 2802620, 8407768, 5605148, 2802404, 163276365, 39822837, 3090084253129
5, 7012352, 2803860, 8409008, 5605148, 2802404, 73220182, 322, 3090081808988
6, 9437184, 4202444, 12609728, 8407284, 4202228, 208304037, 59704583, 3090073342384
7, 9437184, 4203684, 12610968, 8407284, 4202228, 73220182, 322, 3090070898212
8, 9437184, 4204924, 12612208, 8407284, 4202228, 73220182, 322, 3090068454226
9, 9437184, 4206164, 12613448, 8407284, 4202228, 73220182, 322, 3090066010240
10, 9437184, 4945332, 13352616, 8407284, 4202228, 96945634, 322, 3090062832240
11, 9437184, 6697812, 15105096, 8407284, 4202228, 129552358, 322, 3090058646157
12, 10354688, 5447236, 16350632, 10903396, 5447020, 113245561, 69890471, 3090052802678
13, 10354688, 7314916, 18218312, 10903396, 5447020, 133257562, 322, 3090048498433
14, 10354688, 7316156, 18219552, 10903396, 5447020, 73220182, 322, 3090046054417
15, 12648448, 7002596, 21020448, 14017852, 7002380, 163276365, 91922534, 3090037980789
16, 12648448, 7003836, 21021688, 14017852, 7002380, 73220182, 322, 3090035536618
17, 13369344, 11204556, 25222408, 14017852, 7002380, 208304037, 322, 3090028906975
18, 13369344, 11205796, 25223648, 14017852, 7002380, 73220182, 322, 3090026462959
19, 13369344, 11207036, 25224888, 14017852, 7002380, 73220182, 322, 3090024018943
20, 13434880, 11251960, 25269812, 14017852, 7002380, 74612985, 322, 3090021531764
21, 15466496, 8955940, 26887004, 17931064, 8955724, 125204622, 119606235, 3090013783953
22, 15466496, 9786712, 27717776, 17931064, 8955724, 99903688, 322, 3090010514474
23, 15466496, 11032248, 28963312, 17931064, 8955724, 113245206, 322, 3090006832457
24, 15466496, 12899928, 30830992, 17931064, 8955724, 133257562, 322, 3090002530921
25, 18350080, 11202572, 33631888, 22429316, 11202356, 163276365, 144040734, 3089992846979
26, 18350080, 11203812, 33633128, 22429316, 11202356, 73220182, 322, 3089990402715
27, 18350080, 15404532, 37833848, 22429316, 11202356, 208303682, 322, 3089983774529
28, 18350080, 15405772, 37835088, 22429316, 11202356, 73220182, 322, 3089981330482
29, 18350080, 15407012, 37836328, 22429316, 11202356, 73220182, 322, 3089978886435
30, 18350080, 15408252, 37837568, 22429316, 11202356, 73220182, 322, 3089976442449
31, 18350080, 16147420, 38576736, 22429316, 11202356, 96945560, 322, 3089973264483
32, 20643840, 13432424, 40329216, 26896792, 13432208, 129553423, 175514950, 3089963659332
33, 20643840, 14677960, 41574752, 26896792, 13432208, 113245206, 322, 3089959975714
34, 20643840, 16545640, 43442432, 26896792, 13432208, 133257562, 322, 3089955671686
35, 20643840, 16546880, 43443672, 26896792, 13432208, 73220182, 322, 3089953227670
36, 21561344, 19347776, 46244568, 26896792, 13432208, 163276365, 322, 3089947994325
37, 21561344, 19349016, 46245808, 26896792, 13432208, 73220182, 322, 3089945550339
38, 26476544, 16802372, 50446528, 33644156, 16802156, 208304037, 216031312, 3089932247374
39, 26476544, 16803612, 50447768, 33644156, 16802156, 73220182, 322, 3089929803203
40, 26476544, 16804852, 50449008, 33644156, 16802156, 73220182, 322, 3089927359187
41, 26476544, 16903732, 50547888, 33644156, 16802156, 76348668, 322, 3089924818356
42, 26476544, 18466968, 52111124, 33644156, 16802156, 123465744, 322, 3089920819553
43, 26476544, 19297740, 52941896, 33644156, 16802156, 99903688, 322, 3089917550321
44, 26476544, 20543276, 54187432, 33644156, 16802156, 113245206, 322, 3089913868396
45, 26476544, 22410956, 56055112, 33644156, 16802156, 133257562, 322, 3089909566245
46, 27394048, 25211852, 58856008, 33644156, 16802156, 163276365, 322, 3089904331423
47, 27394048, 25213092, 58857248, 33644156, 16802156, 73220182, 322, 3089901887407
48, 32505856, 21002348, 63057968, 42055620, 21002132, 208304037, 268189448, 3089886971883
49, 32505856, 21003588, 63059208, 42055620, 21002132, 73220182, 322, 3089884527742
50, 32505856, 21004972, 63060592, 42055620, 21002132, 2935022011, 322, 3089794031362
51, 32505856, 21006332, 63061952, 42055620, 21002132, 2935021325, 322, 3089703531119
52, 32505856, 21007692, 63063312, 42055620, 21002132, 2935021325, 322, 3089613034609
53, 32505856, 21009052, 63064672, 42055620, 21002132, 2935021325, 322, 3089522538068
54, 32505856, 21010412, 63066032, 42055620, 21002132, 2935021325, 322, 3089432041527
55, 32505856, 21011772, 63067392, 42055620, 21002132, 2935021325, 322, 3089341545017
56, 32505856, 21013132, 63068752, 42055620, 21002132, 2935021325, 322, 3089251048476
57, 32505856, 21014492, 63070112, 42055620, 21002132, 2935021325, 322, 3089160551935
58, 32505856, 21015852, 63071472, 42055620, 21002132, 2935021325, 322, 3089070055425
59, 32505856, 21017212, 63072832, 42055620, 21002132, 2935021325, 322, 3088979555151
60, 32505856, 21018612, 63074232, 42055620, 21002132, 84220858, 322, 3088976772501
61, 32505856, 21019852, 63075472, 42055620, 21002132, 84220172, 322, 3088973990023
62, 32505856, 21021092, 63076712, 42055620, 21002132, 84220172, 322, 3088971207545
63, 32505856, 21022332, 63077952, 42055620, 21002132, 84220172, 322, 3088968425037
64, 32505856, 21023572, 63079192, 42055620, 21002132, 84220172, 322, 3088965642529
65, 32505856, 23124556, 65180176, 42055620, 21002132, 136713692, 322, 3088961230774
66, 32505856, 24175672, 66231292, 42055620, 21002132, 110466906, 322, 3088957633535
67, 32505856, 25161188, 67216808, 42055620, 21002132, 108826666, 322, 3088954088335
68, 32505856, 25228132, 67283752, 42055620, 21002132, 85861298, 322, 3088951254869
69, 32505856, 25229372, 67284992, 42055620, 21002132, 84220172, 322, 3088948472361
70, 32505856, 25230612, 67286232, 42055620, 21002132, 84220172, 322, 3088945689883
71, 32505856, 25231852, 67287472, 42055620, 21002132, 84220172, 322, 3088942907344
72, 32505856, 25233092, 67288712, 42055620, 21002132, 84220172, 322, 3088940124836
73, 32505856, 25234332, 67289952, 42055620, 21002132, 84220172, 322, 3088937342328
74, 32505856, 25235572, 67291192, 42055620, 21002132, 84220172, 322, 3088934559820
75, 32505856, 27336556, 69392176, 42055620, 21002132, 136713692, 322, 3088930146558
76, 32505856, 27337796, 69393416, 42055620, 21002132, 84220172, 322, 3088927364019
77, 32505856, 28913852, 70969472, 42055620, 21002132, 123590240, 322, 3088923365539
78, 32505856, 29440132, 71495752, 42055620, 21002132, 97344720, 322, 3088920178735
79, 32505856, 29441372, 71496992, 42055620, 21002132, 84220172, 322, 3088917396257
80, 32505856, 29442612, 71498232, 42055620, 21002132, 84220172, 322, 3088914613718
81, 32505856, 29443852, 71499472, 42055620, 21002132, 84220172, 322, 3088911831179
82, 32505856, 29445092, 71500712, 42055620, 21002132, 84220172, 322, 3088909048701
83, 32505856, 29446332, 71501952, 42055620, 21002132, 84220172, 322, 3088906266193
84, 32505856, 29447572, 71503192, 42055620, 21002132, 84220172, 322, 3088903483593
85, 32505856, 29448956, 71504576, 42055620, 21002132, 1467522011, 322, 3088858141090
86, 32505856, 29450316, 71505936, 42055620, 21002132, 1467521325, 322, 3088812798458
87, 32505856, 29451676, 71507296, 42055620, 21002132, 1467521325, 322, 3088767455733
88, 32505856, 29453036, 71508656, 42055620, 21002132, 1467521325, 322, 3088722113070
89, 32505856, 29454396, 71510016, 42055620, 21002132, 1467521325, 322, 3088676770407
90, 32505856, 29455756, 71511376, 42055620, 21002132, 1467521325, 322, 3088631427651
