Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 4390912, 555988, 1662892, 1106904, 555772, 126601057, 5166060, 3090103987511
1, 4390912, 1386756, 2493660, 1106904, 555772, 99903688, 322, 3090100718374
2, 6029312, 1247260, 3739192, 2491932, 1247044, 113245561, 11560681, 3090096666322
3, 7143424, 1869404, 5606872, 3737468, 1869188, 133257562, 17315158, 3090091816976
4, 9633792, 2802620, 8407768, 5605148, 2802404, 163276010, 25947406, 3090085762686
5, 9633792, 2803860, 8409008, 5605148, 2802404, 73220182, 322, 3090083318607
6, 13369344, 4202444, 12609728, 8407284, 4202228, 208303682, 38895778, 3090075463300
7, 13369344, 4203684, 12610968, 8407284, 4202228, 73220182, 322, 3090073019190
8, 13369344, 4204924, 12612208, 8407284, 4202228, 73220182, 322, 3090070575236
9, 13369344, 4206164, 12613448, 8407284, 4202228, 73220182, 322, 3090068131282
10, 13369344, 4945332, 13352616, 8407284, 4202228, 96945634, 322, 3090064953314
11, 13369344, 6697812, 15105096, 8407284, 4202228, 129552358, 322, 3090060767262
12, 15597568, 5447236, 16350632, 10903396, 5447020, 113245206, 50417359, 3090055450690
13, 15597568, 7314916, 18218312, 10903396, 5447020, 133257562, 322, 3090051146538
14, 15597568, 7316156, 18219552, 10903396, 5447020, 73220182, 322, 3090048702584
15, 19333120, 7002596, 21020448, 14017852, 7002380, 163276010, 64804439, 3090041410908
16, 19333120, 7003836, 21021688, 14017852, 7002380, 73220182, 322, 3090038966829
17, 19333120, 11204556, 25222408, 14017852, 7002380, 208303682, 322, 3090032337290
18, 19333120, 11205796, 25223648, 14017852, 7002380, 73220182, 322, 3090029893336
19, 19333120, 11207036, 25224888, 14017852, 7002380, 73220182, 322, 3090027449382
20, 19333120, 11251960, 25269812, 14017852, 7002380, 74612630, 322, 3090024962275
21, 23986176, 8955940, 26887004, 17931064, 8955724, 125201782, 82879764, 3090018225027
22, 23986176, 9786712, 27717776, 17931064, 8955724, 99903688, 322, 3090014955641
23, 23986176, 11032248, 28963312, 17931064, 8955724, 113245206, 322, 3090011273686
24, 23986176, 12899928, 30830992, 17931064, 8955724, 133257562, 322, 3090006972212
25, 29097984, 11202572, 33631888, 22429316, 11202356, 163276010, 103661110, 3089998446762
26, 29097984, 11203812, 33633128, 22429316, 11202356, 73220182, 322, 3089996002591
27, 29097984, 15404532, 37833848, 22429316, 11202356, 208303682, 322, 3089989374498
28, 29097984, 15405772, 37835088, 22429316, 11202356, 73220182, 322, 3089986930513
29, 29097984, 15407012, 37836328, 22429316, 11202356, 73220182, 322, 3089984486528
30, 29097984, 15408252, 37837568, 22429316, 11202356, 73220182, 322, 3089982042604
31, 29097984, 16147420, 38576736, 22429316, 11202356, 96945560, 322, 3089978864700
32, 33488896, 13432424, 40329216, 26896792, 13432208, 129552358, 124294132, 3089970650931
33, 33488896, 14677960, 41574752, 26896792, 13432208, 113245206, 322, 3089966967406
34, 33488896, 16545640, 43442432, 26896792, 13432208, 133257562, 322, 3089962663440
35, 33488896, 16546880, 43443672, 26896792, 13432208, 73220182, 322, 3089960219486
36, 33488896, 19347776, 46244568, 26896792, 13432208, 163276010, 322, 3089954986214
37, 33488896, 19349016, 46245808, 26896792, 13432208, 73220182, 322, 3089952542290
38, 42532864, 16802372, 50446528, 33644156, 16802156, 208303682, 155466504, 3089940976868
39, 42532864, 16803612, 50447768, 33644156, 16802156, 73220182, 322, 3089938532820
40, 42532864, 16804852, 50449008, 33644156, 16802156, 73220182, 322, 3089936088896
41, 42532864, 16903732, 50547888, 33644156, 16802156, 76348668, 322, 3089933548158
42, 42532864, 18466968, 52111124, 33644156, 16802156, 123465744, 322, 3089929549417
43, 42532864, 19297740, 52941896, 33644156, 16802156, 99903688, 322, 3089926280247
44, 42532864, 20543276, 54187432, 33644156, 16802156, 113245206, 322, 3089922598384
45, 42532864, 22410956, 56055112, 33644156, 16802156, 133257562, 322, 3089918296295
46, 42532864, 25211852, 58856008, 33644156, 16802156, 163276010, 322, 3089913061546
47, 42532864, 25213092, 58857248, 33644156, 16802156, 73220182, 322, 3089910617592
48, 52625408, 21002348, 63057968, 42055620, 21002132, 208303682, 194323175, 3089897691258
49, 52625408, 21003588, 63059208, 42055620, 21002132, 73220182, 322, 3089895247179
50, 52625408, 21004972, 63060592, 42055620, 21002132, 2935022011, 322, 3089804750861
51, 52625408, 21006332, 63061952, 42055620, 21002132, 2935021325, 322, 3089714254413
52, 52625408, 21007692, 63063312, 42055620, 21002132, 2935021325, 322, 3089623751290
53, 52625408, 21009052, 63064672, 42055620, 21002132, 2935021325, 322, 3089533254811
54, 52625408, 21010412, 63066032, 42055620, 21002132, 2935021325, 322, 3089442758332
55, 52625408, 21011772, 63067392, 42055620, 21002132, 2935021325, 322, 3089352261884
56, 52625408, 21013132, 63068752, 42055620, 21002132, 2935021325, 322, 3089261765405
57, 52625408, 21014492, 63070112, 42055620, 21002132, 2935021325, 322, 3089171268926
58, 52625408, 21015852, 63071472, 42055620, 21002132, 2935021325, 322, 3089080772478
59, 52625408, 21017212, 63072832, 42055620, 21002132, 2935021325, 322, 3088990275999
60, 52625408, 21018612, 63074232, 42055620, 21002132, 84220858, 322, 3088987493381
61, 52625408, 21019852, 63075472, 42055620, 21002132, 84220172, 322, 3088984710965
62, 52625408, 21021092, 63076712, 42055620, 21002132, 84220172, 322, 3088981928549
63, 52625408, 21022332, 63077952, 42055620, 21002132, 84220172, 322, 3088979146102
64, 52625408, 21023572, 63079192, 42055620, 21002132, 84220172, 322, 3088976363656
65, 52625408, 23124556, 65180176, 42055620, 21002132, 136713692, 322, 3088971951963
66, 52625408, 24175672, 66231292, 42055620, 21002132, 110466906, 322, 3088968354786
67, 52625408, 25161188, 67216808, 42055620, 21002132, 108826666, 322, 3088964809648
68, 52625408, 25228132, 67283752, 42055620, 21002132, 85861298, 322, 3088961976275
69, 52625408, 25229372, 67284992, 42055620, 21002132, 84220172, 322, 3088959193859
70, 52625408, 25230612, 67286232, 42055620, 21002132, 84220172, 322, 3088956411413
71, 52625408, 25231852, 67287472, 42055620, 21002132, 84220172, 322, 3088953628936
72, 52625408, 25233092, 67288712, 42055620, 21002132, 84220172, 322, 3088950846490
73, 52625408, 25234332, 67289952, 42055620, 21002132, 84220172, 322, 3088948064044
74, 52625408, 25235572, 67291192, 42055620, 21002132, 84220172, 322, 3088945281598
75, 52625408, 27336556, 69392176, 42055620, 21002132, 136713692, 322, 3088940868397
76, 52625408, 27337796, 69393416, 42055620, 21002132, 84220172, 322, 3088938085920
77, 52625408, 28913852, 70969472, 42055620, 21002132, 123590240, 322, 3088934087502
78, 52625408, 29440132, 71495752, 42055620, 21002132, 97344720, 322, 3088930900790
79, 52625408, 29441372, 71496992, 42055620, 21002132, 84220172, 322, 3088928118374
80, 52625408, 29442612, 71498232, 42055620, 21002132, 84220172, 322, 3088925335897
81, 52625408, 29443852, 71499472, 42055620, 21002132, 84220172, 322, 3088922553420
82, 52625408, 29445092, 71500712, 42055620, 21002132, 84220172, 322, 3088919771004
83, 52625408, 29446332, 71501952, 42055620, 21002132, 84220172, 322, 3088916988558
84, 52625408, 29447572, 71503192, 42055620, 21002132, 84220172, 322, 3088914206050
85, 52625408, 29448956, 71504576, 42055620, 21002132, 1467522011, 322, 3088868858206
86, 52625408, 29450316, 71505936, 42055620, 21002132, 1467521325, 322, 3088823515636
87, 52625408, 29451676, 71507296, 42055620, 21002132, 1467521325, 322, 3088778172973
88, 52625408, 29453036, 71508656, 42055620, 21002132, 1467521325, 322, 3088732830372
89, 52625408, 29454396, 71510016, 42055620, 21002132, 1467521325, 322, 3088687487771
90, 52625408, 29455756, 71511376, 42055620, 21002132, 1467521325, 322, 3088642145077
91, 52625408, 29457116, 71512736, 42055620, 21002132, 1467521325, 322, 3088596802476
92, 52625408, 29458476, 71514096, 42055620, 21002132, 1467521325, 322, 3088551459875
93, 52625408, 29459836, 71515456, 42055620, 21002132, 1467521325, 322, 3088506117181
94, 52625408, 29461196, 71516816, 42055620, 21002132, 1467521325, 322, 3088460774580
95, 52625408, 29462596, 71518216, 42055620, 21002132, 73220868, 322, 3088458330455
96, 52625408, 29463836, 71519456, 42055620, 21002132, 73220182, 322, 3088455886408
97, 52625408, 29465076, 71520696, 42055620, 21002132, 73220182, 322, 3088453442454
98, 52625408, 29466316, 71521936, 42055620, 21002132, 73220182, 322, 3088450998469
99, 52625408, 29467556, 71523176, 42055620, 21002132, 73220182, 322, 3088448554453
100, 52625408, 29468796, 71524416, 42055620, 21002132, 73220182, 322, 3088446110499
101, 52625408, 30207516, 72263136, 42055620, 21002132, 96947434, 322, 3088442932506
102, 52625408, 31959996, 74015616, 42055620, 21002132, 129552358, 322, 3088438744885
103, 52625408, 13847700, 75261152, 61413452, 21002132, 113245206, 128141616, 3088431014213
104, 52625408, 15715380, 77128832, 61413452, 21002132, 133257562, 322, 3088426713476
105, 52625408, 15716620, 77130072, 61413452, 21002132, 73220182, 322, 3088424269491
106, 52625408, 18517516, 79930968, 61413452, 21002132, 163276010, 322, 3088419040465
107, 52625408, 18518756, 79932208, 61413452, 21002132, 73220182, 322, 3088416596449
108, 52625408, 16802884, 84132928, 67330044, 21002132, 208303682, 155477068, 3088405042610
109, 52625408, 16804124, 84134168, 67330044, 21002132, 73220182, 322, 3088402598501
110, 52625408, 16805364, 84135408, 67330044, 21002132, 73220182, 322, 3088400154577
111, 52625408, 16903796, 84233840, 67330044, 21002132, 76350542, 322, 3088397613750
112, 52625408, 18467032, 85797076, 67330044, 21002132, 123465744, 322, 3088393614978
113, 52625408, 19297804, 86627848, 67330044, 21002132, 99903688, 322, 3088390345777
114, 52625408, 20543340, 87873384, 67330044, 21002132, 113245206, 322, 3088386663883
115, 52625408, 22411020, 89741064, 67330044, 21002132, 133257562, 322, 3088382363271
116, 52625408, 25211916, 92541960, 67330044, 21002132, 163276010, 322, 3088377128491
117, 52625408, 25213156, 92543200, 67330044, 21002132, 73220182, 322, 3088374684506
118, 52625408, 21002348, 96743920, 75741572, 21002132, 208303682, 194322110, 3088361894635
119, 52625408, 21003588, 96745160, 75741572, 21002132, 73220182, 322, 3088359450556
120, 52625408, 21004704, 96746276, 75741572, 21002132, 15331, 322, 3088359262136
121, 52625408, 22665668, 98407240, 75741572, 21002132, 126594916, 322, 3088355166592
122, 52625408, 23496440, 99238012, 75741572, 21002132, 99903688, 322, 3088351897268
123, 52625408, 24741976, 100483548, 75741572, 21002132, 113245206, 322, 3088348215251
124, 52625408, 26609656, 102351228, 75741572, 21002132, 133257562, 322, 3088343912669
125, 52625408, 29410552, 105152124, 75741572, 21002132, 163276010, 322, 3088338683766
126, 52625408, 29411792, 105153364, 75741572, 21002132, 73220182, 322, 3088336239812
127, 52625408, 4202444, 109354084, 105151640, 21002132, 208303682, 38895423, 3088328348024
128, 52625408, 4203684, 109355324, 105151640, 21002132, 73220182, 322, 3088325903914
129, 52625408, 4204924, 109356564, 105151640, 21002132, 73220182, 322, 3088323459960
130, 52625408, 4206164, 109357804, 105151640, 21002132, 73220182, 322, 3088321016006
131, 52625408, 4945332, 110096972, 105151640, 21002132, 96945634, 322, 3088317838038
132, 52625408, 6697812, 111849452, 105151640, 21002132, 129552358, 322, 3088313650324
133, 52625408, 5447236, 113094988, 107647752, 21002132, 113245206, 50416649, 3088308333774
134, 52625408, 7314916, 114962668, 107647752, 21002132, 133257562, 322, 3088304029622
135, 52625408, 7316156, 114963908, 107647752, 21002132, 73220182, 322, 3088301585668
136, 52625408, 7002596, 117764804, 110762208, 21002132, 163276010, 64803729, 3088294294045
137, 52625408, 7003836, 117766044, 110762208, 21002132, 73220182, 322, 3088291849966
138, 52625408, 11204556, 121966764, 110762208, 21002132, 208303682, 322, 3088285220427
139, 52625408, 11205796, 121968004, 110762208, 21002132, 73220182, 322, 3088282776473
140, 52625408, 11207036, 121969244, 110762208, 21002132, 73220182, 322, 3088280332519
141, 52625408, 11251960, 122014168, 110762208, 21002132, 74612630, 322, 3088277845412
142, 52625408, 8955940, 123631360, 114675420, 21002132, 125201782, 82879054, 3088271108185
143, 52625408, 9786712, 124462132, 114675420, 21002132, 99903688, 322, 3088267838799
144, 52625408, 11032248, 125707668, 114675420, 21002132, 113245206, 322, 3088264156844
145, 52625408, 12899928, 127575348, 114675420, 21002132, 133257562, 322, 3088259855370
146, 52625408, 11202572, 130376244, 119173672, 21002132, 163276010, 103660400, 3088251329942
147, 52625408, 11203812, 130377484, 119173672, 21002132, 73220182, 322, 3088248885771
148, 52625408, 15404532, 134578204, 119173672, 21002132, 208303682, 322, 3088242257678
149, 52625408, 15405772, 134579444, 119173672, 21002132, 73220182, 322, 3088239813693
150, 52625408, 15407012, 134580684, 119173672, 21002132, 73220182, 322, 3088237369708
151, 52625408, 15408252, 134581924, 119173672, 21002132, 73220182, 322, 3088234925784
152, 52625408, 16147420, 135321092, 119173672, 21002132, 96945560, 322, 3088231747880
153, 52625408, 13432424, 137073572, 123641148, 21002132, 129552358, 124293422, 3088223534133
154, 52625408, 14677960, 138319108, 123641148, 21002132, 113245206, 322, 3088219850608
155, 52625408, 16545640, 140186788, 123641148, 21002132, 133257562, 322, 3088215546642
156, 52625408, 16546880, 140188028, 123641148, 21002132, 73220182, 322, 3088213102688
157, 52625408, 19347776, 142988924, 123641148, 21002132, 163276010, 322, 3088207869416
158, 52625408, 19349016, 142990164, 123641148, 21002132, 73220182, 322, 3088205425492
159, 52625408, 16802372, 147190884, 130388512, 21002132, 208303682, 155465439, 3088193860103
160, 52625408, 16803612, 147192124, 130388512, 21002132, 73220182, 322, 3088191416055
161, 52625408, 16804852, 147193364, 130388512, 21002132, 73220182, 322, 3088188972131
162, 52625408, 16903732, 147292244, 130388512, 21002132, 76348668, 322, 3088186431393
163, 52625408, 18466968, 148855480, 130388512, 21002132, 123465744, 322, 3088182432652
164, 52625408, 19297740, 149686252, 130388512, 21002132, 99903688, 322, 3088179163482
165, 52625408, 20543276, 150931788, 130388512, 21002132, 113245206, 322, 3088175481619
166, 52625408, 20544660, 150933172, 130388512, 21002132, 2641522011, 322, 3088094016070
167, 52625408, 20546020, 150934532, 130388512, 21002132, 2641521325, 322, 3088012544272
168, 52625408, 20547380, 150935892, 130388512, 21002132, 2641521325, 322, 3087931078593
169, 52625408, 20548740, 150937252, 130388512, 21002132, 2641521325, 322, 3087849612914
170, 52625408, 20550100, 150938612, 130388512, 21002132, 2641521325, 322, 3087768147235
171, 52625408, 20551460, 150939972, 130388512, 21002132, 2641521325, 322, 3087686681494
172, 52625408, 20552820, 150941332, 130388512, 21002132, 2641521325, 322, 3087605215815
173, 52625408, 20554180, 150942692, 130388512, 21002132, 2641521325, 322, 3087523750136
174, 52625408, 20555540, 150944052, 130388512, 21002132, 2641521325, 322, 3087442278832
175, 52625408, 20556900, 150945412, 130388512, 21002132, 2641521325, 322, 3087360813153

