Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 3866624, 1671092, 1671092, 0, 0, 150579522, 359, 3090101015100
1, 4653056, 2501856, 2501856, 0, 0, 119043506, 359, 3090097157402
2, 5898240, 3747384, 3747384, 0, 0, 134804469, 359, 3090092812443
3, 7798784, 5615056, 5615056, 0, 0, 158446010, 359, 3090087735252
4, 10878976, 2810820, 8424144, 5613324, 2802404, 193908218, 54294548, 3090079866449
5, 10878976, 2812060, 8425384, 5613324, 2802404, 90821016, 359, 3090076880662
6, 10878976, 7012780, 12626104, 5613324, 2802404, 250400433, 359, 3090068953389
7, 10878976, 7014020, 12627344, 5613324, 2802404, 89720820, 359, 3090066001642
8, 10878976, 7015260, 12628584, 5613324, 2802404, 89720820, 359, 3090063049926
9, 10878976, 7016500, 12629824, 5613324, 2802404, 89720820, 359, 3090060098210
10, 10878976, 7755668, 13368992, 5613324, 2802404, 117181951, 359, 3090056297721
11, 11665408, 9508148, 15121472, 5613324, 2802404, 155168874, 359, 3090051321758
12, 12910592, 10753684, 16367008, 5613324, 2802404, 135904570, 359, 3090046940973
13, 15138816, 8877432, 18242888, 9365456, 8869016, 159546111, 115369935, 3090038232400
14, 15138816, 8878672, 18244128, 9365456, 8869016, 90821016, 359, 3090035246583
15, 15138816, 11679568, 21045024, 9365456, 8869016, 196275113, 359, 3090028997720
16, 15138816, 11680808, 21046264, 9365456, 8869016, 89720820, 359, 3090026046004
17, 18087936, 15881528, 25246984, 9365456, 8869016, 249301721, 359, 3090018154076
18, 18087936, 15882768, 25248224, 9365456, 8869016, 89720820, 359, 3090015202330
19, 18087936, 15884008, 25249464, 9365456, 8869016, 89720820, 359, 3090012250614
20, 18087936, 15928932, 25294388, 9365456, 8869016, 91333710, 359, 3090009248963
21, 19988480, 13630628, 26919780, 13289152, 13622212, 150031504, 90644454, 3090001607377
22, 19988480, 14461400, 27750552, 13289152, 13622212, 121633039, 359, 3089997669220
23, 19988480, 15706936, 28996088, 13289152, 13622212, 137004305, 359, 3089993256135
24, 19988480, 17574616, 30863768, 13289152, 13622212, 160645846, 359, 3089988111895
25, 22544384, 20375512, 33664664, 13289152, 13622212, 196108409, 359, 3089981866777
26, 22544384, 20376752, 33665904, 13289152, 13622212, 89720820, 359, 3089978915031
27, 27131904, 17830304, 37874824, 20044520, 17821888, 249301721, 80871568, 3089968501620
28, 27131904, 17831544, 37876064, 20044520, 17821888, 90821016, 359, 3089965515742
29, 27131904, 17832784, 37877304, 20044520, 17821888, 90820820, 359, 3089962530149
30, 27131904, 17834024, 37878544, 20044520, 17821888, 90820820, 359, 3089959544556
31, 27131904, 18573192, 38617712, 20044520, 17821888, 117653631, 359, 3089955729338
32, 27131904, 20325672, 40370192, 20044520, 17821888, 155168519, 359, 3089950753478
33, 27131904, 21571208, 41615728, 20044520, 17821888, 135904215, 359, 3089946372796
34, 27131904, 23438888, 43483408, 20044520, 17821888, 159545756, 359, 3089941261728
35, 27131904, 23440128, 43484648, 20044520, 17821888, 88620820, 359, 3089938343828
36, 28704768, 20630652, 46293744, 25663092, 20622236, 195008319, 54226316, 3089930444437
37, 28704768, 20631892, 46294984, 25663092, 20622236, 90821016, 359, 3089927458589
38, 28704768, 24832612, 50495704, 25663092, 20622236, 249803441, 359, 3089919551254
39, 28704768, 24833852, 50496944, 25663092, 20622236, 89720820, 359, 3089916599508
40, 28704768, 24835092, 50498184, 25663092, 20622236, 89720820, 359, 3089913647731
41, 28704768, 24933972, 50597064, 25663092, 20622236, 93353142, 359, 3089910583636
42, 28704768, 26497208, 52160300, 25663092, 20622236, 147977904, 359, 3089905830595
43, 29491200, 27327980, 52991072, 25663092, 20622236, 120143607, 359, 3089901938547
44, 30736384, 28573516, 54236608, 25663092, 20622236, 135904570, 359, 3089897559424
45, 32899072, 26697264, 56112488, 29415224, 26688848, 159546111, 115370091, 3089888852477
46, 32899072, 29498160, 58913384, 29415224, 26688848, 196778317, 359, 3089882586589
47, 32899072, 29499400, 58914624, 29415224, 26688848, 89720820, 359, 3089879634843
48, 35913728, 33700120, 63115344, 29415224, 26688848, 249301721, 359, 3089871741499
49, 35913728, 33701360, 63116584, 29415224, 26688848, 89720820, 359, 3089868789783
50, 35913728, 33702744, 63117968, 29415224, 26688848, 3115022793, 359, 3089772754899
51, 35913728, 33704104, 63119328, 29415224, 26688848, 3115021952, 359, 3089676719889
52, 35913728, 33705464, 63120688, 29415224, 26688848, 3115021952, 359, 3089580680836
53, 35913728, 33706824, 63122048, 29415224, 26688848, 3115021952, 359, 3089484645795
54, 35913728, 33708184, 63123408, 29415224, 26688848, 3115021952, 359, 3089388610785
55, 35913728, 33709544, 63124768, 29415224, 26688848, 3115021952, 359, 3089292575775
56, 35913728, 33710904, 63126128, 29415224, 26688848, 3115021952, 359, 3089196540734
57, 35913728, 33712264, 63127488, 29415224, 26688848, 3115021952, 359, 3089100505724
58, 35913728, 33713624, 63128848, 29415224, 26688848, 3115021952, 359, 3089004470714
59, 35913728, 33714984, 63130208, 29415224, 26688848, 3115021952, 359, 3088908435673
60, 35913728, 33716384, 63131608, 29415224, 26688848, 100721640, 359, 3088905145319
61, 35913728, 33717624, 63132848, 29415224, 26688848, 100720799, 359, 3088901855112
62, 35913728, 33718864, 63134088, 29415224, 26688848, 100720799, 359, 3088898564874
63, 35913728, 33720104, 63135328, 29415224, 26688848, 100720799, 359, 3088895274667
64, 35913728, 33721344, 63136568, 29415224, 26688848, 100720799, 359, 3088891984429
65, 38273024, 28797280, 65245752, 36448472, 28788864, 162401110, 41347413, 3088885494118
66, 38273024, 29848396, 66296868, 36448472, 28788864, 132901373, 359, 3088881206321
67, 38273024, 30833912, 67282384, 36448472, 28788864, 129633718, 359, 3088877022485
68, 38273024, 30900856, 67349328, 36448472, 28788864, 104347456, 359, 3088873620411
69, 38273024, 30902096, 67350568, 36448472, 28788864, 102520810, 359, 3088870274757
70, 38273024, 30903336, 67351808, 36448472, 28788864, 102520810, 359, 3088866929165
71, 38273024, 30904576, 67353048, 36448472, 28788864, 102520810, 359, 3088863583542
72, 38273024, 30905816, 67354288, 36448472, 28788864, 102520810, 359, 3088860237826
73, 38273024, 30907056, 67355528, 36448472, 28788864, 102520810, 359, 3088856892234
74, 38273024, 30908296, 67356768, 36448472, 28788864, 102520810, 359, 3088853546611
75, 38273024, 33009280, 69457752, 36448472, 28788864, 164053327, 359, 3088848300172
