Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 3817388, 3817388, 0, 0, 150800927, 325, 3090098146692
1, 33554432, 4648436, 4648436, 0, 0, 119954616, 325, 3090094260626
2, 33554432, 5894248, 5894248, 0, 0, 135369944, 325, 3090089898119
3, 33554432, 7762204, 7762204, 0, 0, 158493030, 325, 3090084819270
4, 33554432, 10563376, 10563376, 0, 0, 193177558, 325, 3090078664591
5, 33554432, 10564888, 10564888, 0, 0, 89123417, 325, 3090075731485
6, 33554432, 14765884, 14765884, 0, 0, 245204350, 325, 3090067964473
7, 33554432, 14767396, 14767396, 0, 0, 89123417, 325, 3090065031397
8, 33554432, 14768908, 14768908, 0, 0, 89123417, 325, 3090062098383
9, 33554432, 14770420, 14770420, 0, 0, 89123417, 325, 3090059165369
10, 33554432, 15510044, 15510044, 0, 0, 116538774, 325, 3090055384775
11, 33554432, 17262808, 17262808, 0, 0, 154211882, 325, 3090050438578
12, 33554432, 18508620, 18508620, 0, 0, 135369944, 325, 3090046074563
13, 33554432, 20376576, 20376576, 0, 0, 158493030, 325, 3090040994300
14, 33554432, 20378088, 20378088, 0, 0, 89123417, 325, 3090038061256
15, 33554432, 23179260, 23179260, 0, 0, 193177558, 325, 3090031908084
16, 33554432, 23180772, 23180772, 0, 0, 89123417, 325, 3090028974947
17, 33554432, 27381768, 27381768, 0, 0, 245204350, 325, 3090021209443
18, 33554432, 27383280, 27383280, 0, 0, 89123417, 325, 3090018276306
19, 33554432, 27384792, 27384792, 0, 0, 89123417, 325, 3090015343292
20, 33554432, 27430144, 27430144, 0, 0, 90734423, 325, 3090012360432
21, 33554432, 29047644, 29047644, 0, 0, 149185034, 325, 3090007570199
22, 33554432, 29878692, 29878692, 0, 0, 119954616, 325, 3090003684225
23, 33554432, 31124504, 31124504, 0, 0, 135369944, 325, 3089999321780
24, 33554432, 32992460, 32992460, 0, 0, 158493030, 325, 3089994243055
25, 100663296, 40000112, 35797736, 0, 0, 193178064, 68253693, 3089985956441
26, 100663296, 13362776, 35799252, 22436476, 11207812, 89123417, 325, 3089980802352
27, 100663296, 17563780, 40000256, 22436476, 11207812, 245204350, 325, 3089973034904
28, 100663296, 17565300, 40001776, 22436476, 11207812, 89123417, 325, 3089970101423
29, 100663296, 17566820, 40003296, 22436476, 11207812, 89123417, 325, 3089967167912
30, 100663296, 17568340, 40004816, 22436476, 11207812, 89123417, 325, 3089964234308
31, 100663296, 18307972, 40744448, 22436476, 11207812, 116538774, 325, 3089960453370
32, 100663296, 20060744, 42497220, 22436476, 11207812, 154211882, 325, 3089955506798
33, 100663296, 21306564, 43743040, 22436476, 11207812, 135369944, 325, 3089951142409
34, 100663296, 23174528, 45611004, 22436476, 11207812, 158493030, 325, 3089946061709
35, 100663296, 23176048, 45612524, 22436476, 11207812, 89123417, 325, 3089943128136
36, 100663296, 25977228, 48413704, 22436476, 11207812, 193177558, 325, 3089936974559
37, 100663296, 25978748, 48415224, 22436476, 11207812, 89123417, 325, 3089934041048
38, 100663296, 30179752, 52616228, 22436476, 11207812, 245204350, 325, 3089926275138
39, 100663296, 30181272, 52617748, 22436476, 11207812, 89123417, 325, 3089923341627
40, 100663296, 30182792, 52619268, 22436476, 11207812, 89123417, 325, 3089920408146
41, 100663296, 30282116, 52718592, 22436476, 11207812, 92740307, 325, 3089917362699
42, 100663296, 31845660, 54282136, 22436476, 11207812, 147179150, 325, 3089912634088
43, 100663296, 32676716, 55113192, 22436476, 11207812, 119954616, 325, 3089908747708
44, 100663296, 33922536, 56359012, 22436476, 11207812, 135369944, 396, 3089904384886
45, 100663296, 35790500, 58226976, 22436476, 11207812, 158493212, 396, 3089899305682
46, 100663296, 38595784, 61032260, 22436476, 11207812, 193177558, 61926135, 3089891244784
47, 100663296, 23630888, 61033780, 37402892, 21476828, 117528037, 31769129, 3089881802553
48, 100663296, 27831892, 65234784, 37402892, 21476828, 245204350, 325, 3089874035042
49, 100663296, 27833412, 65236304, 37402892, 21476828, 89123417, 325, 3089871101469
50, 100663296, 27835112, 65238004, 37402892, 21476828, 3265026163, 325, 3089770450950
51, 100663296, 27836772, 65239664, 37402892, 21476828, 3265024759, 325, 3089669800319
52, 100663296, 27838432, 65241324, 37402892, 21476828, 3265024759, 325, 3089569139752
53, 100663296, 27840092, 65242984, 37402892, 21476828, 3265024759, 325, 3089468489121
54, 100663296, 27841752, 65244644, 37402892, 21476828, 3265024759, 325, 3089367838397
55, 100663296, 27843412, 65246304, 37402892, 21476828, 3265024759, 325, 3089267187766
56, 100663296, 27845072, 65247964, 37402892, 21476828, 3265024759, 325, 3089166537104
57, 100663296, 27846732, 65249624, 37402892, 21476828, 3265024759, 325, 3089065886442
58, 100663296, 27848392, 65251284, 37402892, 21476828, 3265024759, 325, 3088965235811
59, 100663296, 27850052, 65252944, 37402892, 21476828, 3265024759, 325, 3088864585087
60, 100663296, 27851764, 65254656, 37402892, 21476828, 100024811, 325, 3088861315993
61, 100663296, 27853284, 65256176, 37402892, 21476828, 100023407, 325, 3088858047097
62, 100663296, 27854804, 65257696, 37402892, 21476828, 100023407, 325, 3088854778232
63, 100663296, 27856324, 65259216, 37402892, 21476828, 100023407, 325, 3088851509336
64, 100663296, 27857844, 65260736, 37402892, 21476828, 100023407, 325, 3088848240440
65, 100663296, 29959112, 67362004, 37402892, 21476828, 160390980, 325, 3088843099988
66, 100663296, 31010512, 68413404, 37402892, 21476828, 130207174, 325, 3088838895253
67, 100663296, 31996324, 69399216, 37402892, 21476828, 128320973, 325, 3088834750001
68, 100663296, 32063600, 69466492, 37402892, 21476828, 101911000, 325, 3088831422625
69, 100663296, 32065120, 69468012, 37402892, 21476828, 100023407, 325, 3088828153637
70, 100663296, 32066640, 69469532, 37402892, 21476828, 100023407, 325, 3088824884772
71, 100663296, 32068160, 69471052, 37402892, 21476828, 100023407, 325, 3088821615846
72, 100663296, 32069680, 69472572, 37402892, 21476828, 100023407, 325, 3088818346920
73, 100663296, 32071200, 69474092, 37402892, 21476828, 100023407, 325, 3088815078055
74, 100663296, 32072720, 69475612, 37402892, 21476828, 100023407, 325, 3088811809129
75, 100663296, 34173988, 71576880, 37402892, 21476828, 160391179, 396, 3088806667223
76, 100663296, 34175508, 71578400, 37402892, 21476828, 100023407, 396, 3088803398290
77, 100663296, 35751852, 73154744, 37402892, 21476828, 145299031, 396, 3088798726815
78, 100663296, 36278476, 73681368, 37402892, 21476828, 115117033, 396, 3088794990386
79, 100663296, 36279996, 73682888, 37402892, 21476828, 100023407, 396, 3088791721484
80, 100663296, 36281516, 73684408, 37402892, 21476828, 100023407, 396, 3088788452520
81, 100663296, 36283036, 73685928, 37402892, 21476828, 100023407, 396, 3088785183618
82, 100663296, 36284556, 73687448, 37402892, 21476828, 100023407, 396, 3088781914685
83, 100663296, 36286076, 73688968, 37402892, 21476828, 100023407, 396, 3088778645783
84, 100663296, 36287596, 73690488, 37402892, 21476828, 100023407, 396, 3088775376881
85, 100663296, 36289296, 73692188, 37402892, 21476828, 1632526163, 396, 3088724947349
86, 100663296, 36290956, 73693848, 37402892, 21476828, 1632524759, 396, 3088674527482
87, 100663296, 36292616, 73695508, 37402892, 21476828, 1632524759, 396, 3088624107615
88, 100663296, 36294276, 73697168, 37402892, 21476828, 1632524759, 396, 3088573687686
89, 100663296, 36295936, 73698828, 37402892, 21476828, 1632524759, 396, 3088523267819
90, 100663296, 36297596, 73700488, 37402892, 21476828, 1632524759, 396, 3088472847921
91, 100663296, 36299256, 73702148, 37402892, 21476828, 1632524759, 396, 3088422428054
92, 100663296, 36300916, 73703808, 37402892, 21476828, 1632524759, 396, 3088372008156
93, 100663296, 36302576, 73705468, 37402892, 21476828, 1632524759, 396, 3088321588258
