Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 3866624, 1662892, 1662892, 0, 0, 126601047, 200, 3090104630992
1, 4653056, 2493656, 2493656, 0, 0, 99904033, 200, 3090101362230
2, 5898240, 3739184, 3739184, 0, 0, 113245551, 200, 3090097680650
3, 7798784, 5606856, 5606856, 0, 0, 133257907, 200, 3090093378505
4, 10616832, 8407744, 8407744, 0, 0, 163276355, 200, 3090088144039
5, 10616832, 8408976, 8408976, 0, 0, 73220172, 200, 3090085700563
6, 14811136, 12609688, 12609688, 0, 0, 208304027, 200, 3090079069061
7, 14811136, 12610920, 12610920, 0, 0, 73220172, 200, 3090076625555
8, 14811136, 12612152, 12612152, 0, 0, 73220172, 200, 3090074182049
9, 14811136, 12613384, 12613384, 0, 0, 73220172, 200, 3090071738512
10, 15532032, 13352544, 13352544, 0, 0, 96947680, 200, 3090068560928
11, 17301504, 15105016, 15105016, 0, 0, 129553413, 200, 3090064373630
12, 18546688, 16350544, 16350544, 0, 0, 113245551, 200, 3090060690543
13, 20381696, 18218216, 18218216, 0, 0, 133257907, 200, 3090056386922
14, 20381696, 18219448, 18219448, 0, 0, 73220172, 200, 3090053943416
15, 23199744, 21020336, 21020336, 0, 0, 163276355, 200, 3090048710427
16, 23199744, 21021568, 21021568, 0, 0, 73220172, 200, 3090046266859
17, 27394048, 25222280, 25222280, 0, 0, 208304027, 200, 3090039636926
18, 27394048, 25223512, 25223512, 0, 0, 73220172, 200, 3090037193420
19, 27394048, 25224744, 25224744, 0, 0, 73220172, 200, 3090034749790
20, 27459584, 25269660, 25269660, 0, 0, 74612975, 200, 3090032263151
21, 29097984, 26886844, 26886844, 0, 0, 125204257, 200, 3090028210965
22, 29884416, 27717608, 27717608, 0, 0, 99904033, 200, 3090024942140
23, 31129600, 28963136, 28963136, 0, 0, 113245551, 200, 3090021260560
24, 33030144, 30830808, 30830808, 0, 0, 133257907, 200, 3090016958415
25, 35782656, 33631696, 33631696, 0, 0, 163276355, 200, 3090011723948
26, 35848192, 33632928, 33632928, 0, 0, 73220601, 200, 3090009280398
27, 40042496, 37833640, 37833640, 0, 0, 208304027, 200, 3090002648988
28, 40042496, 37834872, 37834872, 0, 0, 73220172, 200, 3090000205451
29, 40042496, 37836104, 37836104, 0, 0, 73220172, 200, 3089997761852
30, 40042496, 37837336, 37837336, 0, 0, 73220172, 200, 3089995318315
31, 40763392, 38576496, 38576496, 0, 0, 96947680, 200, 3089992140793
32, 42532864, 40328968, 40328968, 0, 0, 129553413, 200, 3089987953525
33, 43778048, 41574496, 41574496, 0, 0, 113245551, 200, 3089984270530
34, 45613056, 43442168, 43442168, 0, 0, 133257907, 200, 3089979966939
35, 45613056, 43443400, 43443400, 0, 0, 73220172, 200, 3089977523340
36, 48431104, 46244288, 46244288, 0, 0, 163276355, 200, 3089972290474
37, 48431104, 46245520, 46245520, 0, 0, 73220172, 200, 3089969846875
38, 52625408, 50446232, 50446232, 0, 0, 208304027, 200, 3089963217034
39, 52625408, 50447464, 50447464, 0, 0, 73220172, 200, 3089960773466
40, 52625408, 50448696, 50448696, 0, 0, 73220172, 200, 3089958329929
41, 52756480, 50547568, 50547568, 0, 0, 76349368, 200, 3089955789555
42, 54263808, 52110796, 52110796, 0, 0, 123467864, 200, 3089951791166
43, 55115776, 52941560, 52941560, 0, 0, 99904033, 200, 3089948522402
44, 56360960, 54187088, 54187088, 0, 0, 113245551, 200, 3089944840945
45, 58261504, 56054760, 56054760, 0, 0, 133257907, 200, 3089940538924
46, 61014016, 58855648, 58855648, 0, 0, 163276355, 200, 3089935304612
47, 61014016, 58856880, 58856880, 0, 0, 73220172, 200, 3089932861013
48, 65208320, 63057592, 63057592, 0, 0, 208304027, 200, 3089926229696
49, 65273856, 63058824, 63058824, 0, 0, 73220527, 200, 3089923786117
50, 65273856, 63060200, 63060200, 0, 0, 2935022001, 200, 3089833290247
51, 65273856, 63061552, 63061552, 0, 0, 2935021315, 200, 3089742794247
52, 65273856, 63062904, 63062904, 0, 0, 2935021315, 200, 3089652298216
53, 65273856, 63064256, 63064256, 0, 0, 2935021315, 200, 3089561795471
54, 65273856, 63065608, 63065608, 0, 0, 2935021315, 200, 3089471299440
55, 65273856, 63066960, 63066960, 0, 0, 2935021315, 200, 3089380803378
56, 65273856, 63068312, 63068312, 0, 0, 2935021315, 200, 3089290307347
57, 65273856, 63069664, 63069664, 0, 0, 2935021315, 200, 3089199811316
58, 65273856, 63071016, 63071016, 0, 0, 2935021315, 200, 3089109315254
59, 65273856, 63072368, 63072368, 0, 0, 2935021315, 200, 3089018819223
60, 65273856, 63073760, 63073760, 0, 0, 84220848, 200, 3089016037052
61, 65273856, 63074992, 63074992, 0, 0, 84220162, 200, 3089013255023
62, 65273856, 63076224, 63076224, 0, 0, 84220162, 200, 3089010473025
63, 65273856, 63077456, 63077456, 0, 0, 84220162, 200, 3089007690996
64, 65273856, 63078688, 63078688, 0, 0, 84220162, 200, 3089004908967
65, 67371008, 65179664, 65179664, 0, 0, 136714037, 200, 3089000497618
66, 68419584, 66230772, 66230772, 0, 0, 110467251, 200, 3088996900786
67, 69402624, 67216280, 67216280, 0, 0, 108828076, 200, 3088993355990
