Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 141492224, 1760, 135068916, 135067156, 1544, 4678375170, 18234532, 3089963599976
1, 141492224, 1760, 270136588, 270134828, 1544, 4678049834, 18230499, 3089817882844
2, 141492224, 1760, 405204264, 405202504, 1544, 4678049760, 18230469, 3089672179208
3, 141492224, 1760, 540271940, 540270180, 1544, 4678049760, 18230469, 3089527490218
4, 141492224, 1760, 675339616, 675337856, 1544, 4678049760, 18230469, 3089382801228
5, 141492224, 1760, 810407292, 810405532, 1544, 4678049760, 18230469, 3089238095861
6, 141492224, 1760, 945474968, 945473208, 1544, 4678049760, 18230469, 3089093406871
7, 141492224, 1760, 1080542644, 1080540884, 1544, 4678049760, 18230469, 3088948717881
8, 141492224, 1760, 1215610456, 1215608696, 1544, 4678049686, 18230461, 3088803014101
9, 141492224, 1760, 1350678268, 1350676508, 1544, 4678049686, 18230461, 3088658307224

