Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 137232384, 1760, 135068916, 135067156, 1544, 4678375170, 23116, 3089964726143
1, 137232384, 1760, 270136588, 270134828, 1544, 4678049834, 23116, 3089819569704
2, 137232384, 1760, 405204264, 405202504, 1544, 4678049760, 23116, 3089674426372
3, 137232384, 1760, 540271940, 540270180, 1544, 4678049760, 23116, 3089530297655
4, 137232384, 1760, 675339616, 675337856, 1544, 4678049760, 23116, 3089386168938
5, 137232384, 1760, 810407292, 810405532, 1544, 4678049760, 23116, 3089242024309
6, 137232384, 1760, 945474968, 945473208, 1544, 4678049760, 23116, 3089097895592
7, 137232384, 1760, 1080542644, 1080540884, 1544, 4678049760, 23116, 3088953766875
8, 137232384, 1760, 1215610456, 1215608696, 1544, 4678049686, 23116, 3088808623399
9, 137232384, 1760, 1350678268, 1350676508, 1544, 4678049686, 23116, 3088664478627

