Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 141492224, 9960, 135085316, 135075356, 1544, 4685834338, 32544936, 3089961164594
1, 141492224, 10156, 270161188, 270151032, 1740, 4685509900, 32508244, 3089814778493
2, 141492224, 10352, 405237064, 405226712, 1936, 4685509604, 32508342, 3089668405892
3, 141492224, 10548, 540312940, 540302392, 2132, 4685509456, 32508440, 3089522033293
4, 141492224, 10744, 675388816, 675378072, 2328, 4685509456, 32508538, 3089375660691
5, 141492224, 10940, 810464692, 810453752, 2524, 4685509604, 32508636, 3089229271703
6, 141492224, 11136, 945540568, 945529432, 2720, 4685509456, 32508734, 3089082899157
7, 141492224, 11332, 1080616444, 1080605112, 2916, 4685509826, 32508832, 3088936526565
8, 141492224, 11528, 1215692456, 1215680928, 3112, 4685509752, 32508914, 3088790140178
9, 141492224, 11724, 1350768468, 1350756744, 3308, 4685510048, 32509012, 3088643767428

