Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 201326592, 5686580, 137418320, 131731740, 3533160, 4925349556, 30633724, 3089951384148
1, 201326592, 9047984, 272682152, 263634168, 6894564, 4925343373, 30985490, 3089797681244
2, 201326592, 12554904, 407945988, 395391084, 10401484, 4925343390, 31495168, 3089643965595
3, 201326592, 16096736, 543209824, 527113088, 13943316, 4925343373, 32018518, 3089490230597
4, 201326592, 19585340, 678473660, 658888320, 17431920, 4925343390, 32540072, 3089336459624
5, 201326592, 23047980, 813737496, 790689516, 20894560, 4925343373, 33056192, 3089182693435
6, 201326592, 26600172, 949001332, 922401160, 24446752, 4925343390, 33576606, 3089028920095
7, 201326592, 30071208, 1084265168, 1054193960, 27917788, 4925343373, 34098106, 3088875104354
8, 201326592, 33772524, 1219529080, 1185756556, 31619104, 4925343390, 34630524, 3088721298109
9, 234881024, 3765452, 1354793068, 1351027616, 31619104, 4925343640, 39691443, 3088567330824

