Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 137232384, 135058148, 135058148, 0, 0, 3648175855, 200
1, 272302080, 270115004, 270115004, 0, 0, 3648172400, 200
2, 407371776, 405171864, 405171864, 0, 0, 3648170866, 200
3, 542441472, 540228724, 540228724, 0, 0, 3648171784, 200
4, 677445632, 675285584, 675285584, 0, 0, 3648170742, 200
5, 812515328, 810342444, 810342444, 0, 0, 3648171172, 200
6, 947585024, 945399304, 945399304, 0, 0, 3648173136, 200
7, 1082654720, 1080456200, 1080456236, 0, 0, 3648172338, 200
8, 1217724416, 1215513264, 1215513300, 0, 0, 3648172706, 200
9, 1352728576, 1350570328, 1350570364, 0, 0, 3648170312, 200

