Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 1744764928, 37801360, 1689801884, 1652000524, 37801108, 8795778761, 1812537891
1, 1744764928, 37933692, 1689934216, 1652000524, 37801108, 687027, 252
2, 1744764928, 38062076, 1690062600, 1652000524, 37801108, 668164, 252
3, 1744764928, 38189528, 1690190052, 1652000524, 37801108, 661951, 252
4, 1744764928, 38319624, 1690320148, 1652000524, 37801108, 673376, 252
5, 1744764928, 38445436, 1690445960, 1652000524, 37801108, 653454, 252
6, 1744764928, 38577364, 1690577888, 1652000524, 37801108, 683905, 252
7, 1744764928, 38709936, 1690710460, 1652000524, 37801108, 687079, 252
8, 1744764928, 38833664, 1690834188, 1652000524, 37801108, 646414, 252
9, 1744764928, 38960784, 1690961308, 1652000524, 37801108, 660011, 252
10, 1744764928, 39094152, 1691094676, 1652000524, 37801108, 688724, 252
11, 1744764928, 39217624, 1691218148, 1652000524, 37801108, 633782, 252
12, 1744764928, 39399024, 1691399548, 1652000524, 37801108, 968785, 252

