Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 1465122816, 32400076, 1430521088, 1398121012, 32399824, 7446009400, 969051932
1, 1465122816, 32527188, 1430648200, 1398121012, 32399824, 656086, 252
2, 1465122816, 32651524, 1430772536, 1398121012, 32399824, 646544, 252
3, 1465122816, 32781920, 1430902932, 1398121012, 32399824, 675494, 252
4, 1465122816, 32909072, 1431030084, 1398121012, 32399824, 660124, 252
5, 1465122816, 33035528, 1431156540, 1398121012, 32399824, 659005, 252
6, 1465122816, 33166168, 1431287180, 1398121012, 32399824, 682698, 252
7, 1465122816, 33294692, 1431415704, 1398121012, 32399824, 666298, 252
8, 1465122816, 33419064, 1431540076, 1398121012, 32399824, 647275, 252
9, 1465122816, 33544620, 1431665632, 1398121012, 32399824, 651544, 252
10, 1465122816, 33680380, 1431801392, 1398121012, 32399824, 705983, 252
11, 1465122816, 33805600, 1431926612, 1398121012, 32399824, 644265, 252
12, 1465122816, 33989392, 1432110404, 1398121012, 32399824, 986388, 252

