Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 1744830464, 37809560, 1689818284, 1652008724, 37801108, 8856680738, 3016199635
1, 1744830464, 37950092, 1689958816, 1652008724, 37810092, 701338, 339
2, 1744830464, 38078476, 1690087200, 1652008724, 37810092, 681899, 339
3, 1744830464, 38205928, 1690214652, 1652008724, 37810092, 675603, 339
4, 1744830464, 38336024, 1690344748, 1652008724, 37810092, 686812, 339
5, 1744830464, 38461836, 1690470560, 1652008724, 37810092, 668103, 339
6, 1744830464, 38593764, 1690602488, 1652008724, 37810092, 698122, 339
7, 1744830464, 38726336, 1690735060, 1652008724, 37810092, 701296, 339
8, 1744830464, 38850064, 1690858788, 1652008724, 37810092, 660473, 339
9, 1744830464, 38977184, 1690985908, 1652008724, 37810092, 673962, 339
10, 1744830464, 39110552, 1691119276, 1652008724, 37810092, 703481, 339
11, 1744830464, 39234024, 1691242748, 1652008724, 37810092, 647444, 339
12, 1744830464, 39415424, 1691424148, 1652008724, 37810092, 987008, 339

