Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 2214592512, 2132350692, 2132350732, 0, 0, 17419445835, 60839931
1, 2214592512, 2136572616, 2136572656, 0, 0, 3548990, 488417447
2, 2281701376, 2177880276, 2177880316, 0, 0, 3055732, 341288821
3, 2281701376, 66265436, 2132839820, 2066574384, 63952100, 1309252, 347
4, 2281701376, 66429400, 2133003784, 2066574384, 63952100, 1333595, 347
5, 2281701376, 66587972, 2133162356, 2066574384, 63952100, 1293236, 347
6, 2281701376, 66754252, 2133328636, 2066574384, 63952100, 1354395, 347
7, 2281701376, 66921344, 2133495728, 2066574384, 63952100, 1360806, 347
8, 2281701376, 67077284, 2133651668, 2066574384, 63952100, 1275422, 347
9, 2281701376, 67237500, 2133811884, 2066574384, 63952100, 1305866, 347
10, 2281701376, 67405600, 2133979984, 2066574384, 63952100, 1366796, 347
11, 2281701376, 67561232, 2134135616, 2066574384, 63952100, 1260241, 347
12, 2281701376, 67789824, 2134364208, 2066574384, 63952100, 1895470, 347

