Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 1692008448, 1689801884, 1689801920, 0, 0, 8795778760, 200
1, 1692139520, 1689934140, 1689934176, 0, 0, 687075, 200
2, 1692270592, 1690062520, 1690062556, 0, 0, 668237, 200
3, 1692401664, 1690189968, 1690190004, 0, 0, 662024, 200
4, 1692532736, 1690320060, 1690320096, 0, 0, 673449, 200
5, 1692598272, 1690445868, 1690445904, 0, 0, 653490, 200
6, 1692729344, 1690577792, 1690577828, 0, 0, 684003, 200
7, 1692860416, 1690710360, 1690710396, 0, 0, 687177, 200
8, 1692991488, 1690834084, 1690834120, 0, 0, 646425, 200
9, 1693122560, 1690961200, 1690961236, 0, 0, 660059, 200
10, 1693253632, 1691094564, 1691094600, 0, 0, 688797, 200
11, 1693384704, 1691218032, 1691218068, 0, 0, 633880, 200
12, 1693581312, 1691399428, 1691399464, 0, 0, 968945, 200

