Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 9895936, 661252, 7470828, 6809576, 661036, 118075430, 20437627, 3090103119299
1, 11665408, 1320516, 15980000, 14659484, 1320300, 133327200, 39188118, 3090097553381
2, 11993088, 1840516, 24141204, 22300688, 1840300, 128444800, 53958506, 3090091682017
3, 14286848, 2639044, 34038344, 31399300, 2638828, 153484423, 77392612, 3090084301677
4, 14286848, 3159044, 42719548, 39560504, 3158828, 133831692, 91228438, 3090077105887
5, 14417920, 3679044, 51400752, 47721708, 3678828, 138339018, 98739641, 3090069547681
6, 16711680, 4502596, 61796132, 57293536, 4502380, 163923864, 130937024, 3090060182821
7, 17563648, 5276100, 72235032, 66958932, 5275884, 158318090, 153448171, 3090050291150
8, 17563648, 5796100, 81436236, 75640136, 5795884, 140834282, 165695559, 3090040568999
9, 17629184, 6316100, 90637440, 84321340, 6315884, 142110952, 167982519, 3090030751875
10, 18153472, 6836100, 99838644, 93002544, 6835884, 145042397, 180716102, 3090020452874
11, 18743296, 7356100, 109039848, 101683748, 7355884, 146917015, 193602435, 3090009699566
12, 19267584, 7876100, 118241052, 110364952, 7875884, 148571820, 206488803, 3089998498715
13, 23330816, 9003204, 130870608, 121867404, 9002988, 194556116, 260713652, 3089984153305
14, 24051712, 10030212, 143067204, 133036992, 10029996, 186291269, 290051029, 3089969154186
15, 24051712, 10550212, 152788408, 142238196, 10549996, 145622930, 294312333, 3089955302714
16, 24051712, 11070212, 162509612, 151439400, 11069996, 147797336, 314544134, 3089940751297
17, 24051712, 11590212, 172230816, 160640604, 11589996, 149152708, 319991115, 3089926000792
18, 24182784, 12110212, 181952020, 169841808, 12109996, 149152486, 319117835, 3089911296272
19, 24707072, 12630212, 191673224, 179043012, 12629996, 150349936, 331697339, 3089896168153
20, 26738688, 12630212, 202874552, 190244340, 12629996, 1183389898, 374261348, 3089847870281
21, 26738688, 12630212, 214075860, 201445648, 12629996, 1183382038, 308464255, 3089801691889
22, 26738688, 12630212, 225277168, 212646956, 12629996, 1183382038, 308464255, 3089755600635
23, 26738688, 12630212, 236478476, 223848264, 12629996, 1183382038, 308464255, 3089709509381
24, 26738688, 12630212, 247679784, 235049572, 12629996, 1183382038, 308464255, 3089663418127
25, 26738688, 12110212, 257081152, 244970940, 12629996, 139051387, 302040472, 3089649572363
26, 26738688, 11590212, 266482356, 254892144, 12629996, 138562475, 292125552, 3089636039021
27, 26738688, 11070212, 275883560, 264813348, 12629996, 138562475, 281046384, 3089622844300
28, 26738688, 10550212, 285284768, 274734556, 12629996, 138009219, 268658291, 3089610047142
29, 26738688, 10030212, 294685976, 284655764, 12629996, 137122253, 255771958, 3089597670776
30, 26738688, 9003204, 305011728, 296008524, 12629996, 145712601, 239472508, 3089585513846
31, 26738688, 7876100, 315532872, 307656772, 12629996, 149412585, 222111212, 3089573762371
32, 26738688, 7356100, 325054080, 317697980, 12629996, 145802327, 207264767, 3089562593810
33, 26738688, 6836100, 334275256, 327439156, 12629996, 139501137, 192624824, 3089552074423
34, 26738688, 6316100, 343156464, 336840364, 12629996, 132361513, 177977912, 3089542230529
35, 26738688, 6316100, 348757796, 342441696, 12629996, 562001792, 164520571, 3089519628391
36, 26738688, 6316100, 354359036, 348042936, 12629996, 562001106, 154249145, 3089497358549
37, 26738688, 6316100, 359960276, 353644176, 12629996, 562001106, 154249145, 3089475131784
38, 26738688, 6316100, 365561516, 359245416, 12629996, 562001106, 154249145, 3089452905019
39, 26738688, 6316100, 371162756, 364846656, 12629996, 562001106, 154249145, 3089430678254
40, 26738688, 6836100, 380364056, 373527956, 12629996, 145042210, 175115431, 3089420559292
41, 26738688, 7356100, 389565264, 382209164, 12629996, 146916734, 192455676, 3089409842845
42, 26738688, 7876100, 398766472, 390890372, 12629996, 148571820, 206486632, 3089398642089
43, 26738688, 9003204, 411396032, 402392828, 12629996, 194537804, 257280657, 3089384407948
44, 26738688, 10030212, 423592632, 413562420, 12629996, 186290692, 286700084, 3089369517089
45, 26738688, 10550212, 433313840, 422763628, 12629996, 145622708, 294312325, 3089355665469
46, 26738688, 11070212, 443035048, 431964836, 12629996, 147797114, 314544142, 3089341113903
47, 26738688, 11590212, 452756256, 441166044, 12629996, 149152708, 319991115, 3089326363243
48, 26738688, 12110212, 462477464, 450367252, 12629996, 149152708, 319117450, 3089311658573
49, 26738688, 12630212, 472198672, 459568460, 12629996, 150350158, 331696946, 3089296530304
50, 210239488, 2056, 661334788, 661332732, 12629996, 2641995657, 27227217, 3089212791150
51, 210239488, 661252, 668804204, 668142952, 12629996, 118031852, 20432610, 3089208284613
52, 210239488, 1320516, 677313376, 675992860, 12629996, 133319390, 39187763, 3089202718714
53, 210239488, 1840516, 685474580, 683634064, 12629996, 128444800, 53958151, 3089196847128
54, 210239488, 2639044, 695371720, 692732676, 12629996, 153474128, 77392257, 3089189466883
55, 210239488, 3159044, 704052928, 700893884, 12629996, 133831766, 91228408, 3089182270935
