Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 9633792, 7469112, 7469112, 0, 0, 6092, 301
1, 11337728, 9169348, 15978792, 6809444, 660924, 93447518, 14114328
2, 12648448, 9480644, 24139480, 14658836, 1320188, 105569103, 28204168
3, 13893632, 11736580, 34036104, 22299524, 1840188, 102175666, 39461648
4, 16580608, 11319172, 42716792, 31397620, 2638716, 121112802, 56384208
5, 16646144, 11839172, 51397480, 39558308, 3158716, 106411581, 67629808
6, 17694720, 14073348, 61792344, 47718996, 3678716, 110101470, 78895208
7, 20774912, 14940420, 72230728, 57290308, 4502268, 129398988, 96326688
8, 22413312, 14476228, 81431416, 66955188, 5275772, 124984267, 112723408
9, 22478848, 14996228, 90632104, 75635876, 5795772, 111969762, 123974768
10, 23527424, 15516228, 99832792, 84316564, 6315772, 113014408, 135240168
11, 24510464, 16036228, 109033480, 92997252, 6835772, 115414579, 146499808
12, 25559040, 16556228, 118234168, 101677940, 7355772, 116949999, 157760168
13, 26607616, 20504580, 130863208, 110358628, 7875772, 118304894, 169020168
14, 31719424, 21198724, 143059288, 121860564, 9002876, 152653838, 192623128
15, 33423360, 19750340, 152779976, 133029636, 10029884, 146414144, 214153688
16, 33423360, 20270340, 162500664, 142230324, 10549884, 115715272, 225404328
17, 33554432, 20790340, 172221352, 151431012, 11069884, 117495449, 236665048
18, 34537472, 21310340, 181942040, 160631700, 11589884, 118605209, 247929728
19, 35586048, 21830340, 191662728, 169832388, 12109884, 118605146, 259190088
20, 36634624, 23830468, 202863544, 179033076, 12629884, 119585560, 270450088
21, 38666240, 23830372, 214064264, 190233892, 12629884, 909645153, 270455488
22, 38666240, 23830372, 225264988, 201434616, 12629884, 909644723, 270444328
23, 38666240, 23830372, 236465712, 212635340, 12629884, 909644723, 270444328
24, 38666240, 23830372, 247666436, 223836064, 12629884, 909644723, 270444328
25, 38666240, 22030436, 257067224, 235036788, 12629884, 909644723, 270444328
26, 38666240, 21510340, 266467916, 244957576, 12629884, 110378949, 259184328
27, 38666240, 20990340, 275868604, 254878264, 12629884, 109984768, 247924328
28, 38666240, 20470340, 285269292, 264798952, 12629884, 109984840, 236664328
29, 38666240, 19950340, 294669980, 274719640, 12629884, 109539463, 225404328
30, 38666240, 20354884, 304995216, 284640332, 12629884, 108824975, 214144328
31, 38666240, 19523268, 315515844, 295992576, 12629884, 115238080, 192595048
32, 38666240, 17396228, 325036536, 307640308, 12629884, 118072895, 169014408
33, 38666240, 16576196, 334257196, 317681000, 12629884, 115665038, 157754408
34, 38666240, 15716228, 343137888, 327421660, 12629884, 110695317, 146494408
35, 38666240, 11916356, 348738708, 336822352, 12629884, 105064345, 135234408
36, 38666240, 11916260, 354339432, 342423172, 12629884, 432135267, 135234408
37, 38666240, 11916260, 359940156, 348023896, 12629884, 432134774, 135234408
38, 38666240, 11916260, 365540880, 353624620, 12629884, 432134774, 135234408
39, 38666240, 11916260, 371141604, 359225344, 12629884, 432134774, 135234408
40, 38666240, 15516324, 380342392, 364826068, 12629884, 432134774, 135234408
41, 38666240, 16036228, 389543084, 373506856, 12629884, 115415612, 146494408
42, 38666240, 16556228, 398743776, 382187548, 12629884, 116950143, 157754408
43, 38666240, 20504580, 411372820, 390868240, 12629884, 118305038, 169014408
44, 38666240, 21198724, 423568904, 402370180, 12629884, 152653982, 192595048
45, 38666240, 19750340, 433289596, 413539256, 12629884, 146414288, 214144328
46, 38666240, 20270340, 443010288, 422739948, 12629884, 115715416, 225404328
47, 38666240, 20790340, 452730980, 431940640, 12629884, 117495593, 236664328
48, 38666240, 21310340, 462451672, 441141332, 12629884, 118605353, 247924328
49, 38666240, 21830340, 472172364, 450342024, 12629884, 118605290, 259184328
50, 203948032, 201765252, 661307968, 459542716, 12629884, 119585704, 270444328
51, 203948032, 7470332, 668776808, 661306476, 12629884, 2096523805, 25865
52, 203948032, 9169348, 677285536, 668116188, 12629884, 93399828, 14110728
53, 203948032, 9480644, 685446228, 675965584, 12629884, 105563559, 28196968
54, 203948032, 11736580, 695342856, 683606276, 12629884, 102175882, 39456968
55, 203948032, 11319172, 704023548, 692704376, 12629884, 121110858, 56369448
56, 203948032, 11839172, 712704240, 700865068, 12629884, 106411725, 67629448
57, 203948032, 14073348, 723099108, 709025760, 12629884, 110101614, 78889448
58, 203948032, 14940420, 733537496, 718597076, 12629884, 129399132, 96309768
59, 203948032, 14476228, 742738188, 728261960, 12629884, 124984411, 112714408
60, 203948032, 14996228, 751938880, 736942652, 12629884, 111969906, 123974408
61, 203948032, 15516228, 761139572, 745623344, 12629884, 113014552, 135234408
62, 203948032, 16036228, 770340264, 754304036, 12629884, 115414723, 146494408
63, 203948032, 16556228, 779540956, 762984728, 12629884, 116950143, 157754408
64, 203948032, 20504580, 792170000, 771665420, 12629884, 118305038, 169014408
65, 203948032, 21198724, 804366084, 783167360, 12629884, 152653982, 192595048
66, 203948032, 19750340, 814086776, 794336436, 12629884, 146414288, 214144328
67, 203948032, 20270340, 823807468, 803537128, 12629884, 115715416, 225404328
68, 203948032, 20790340, 833528160, 812737820, 12629884, 117495593, 236664328
69, 203948032, 21310340, 843248852, 821938512, 12629884, 118605353, 247924328
70, 203948032, 21830340, 852969544, 831139204, 12629884, 118605290, 259184328
71, 203948032, 23830468, 864170364, 840339896, 12629884, 119585704, 270444328
72, 203948032, 23830372, 875371088, 851540716, 12629884, 909645297, 270444328
73, 203948032, 23830372, 886571812, 862741440, 12629884, 909644867, 270444328
74, 203948032, 23830372, 897772536, 873942164, 12629884, 909644867, 270444328
75, 203948032, 23830372, 908973260, 885142888, 12629884, 909644867, 270444328

