Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 9633792, 7479028, 7479028, 0, 0, 121499303, 359, 3090101880090
1, 18677760, 1328716, 15996392, 14667676, 1320300, 136788769, 62311191, 3090095488696
2, 18677760, 9489920, 24157596, 14667676, 1320300, 132805077, 359, 3090091153032
3, 22151168, 3565932, 34062932, 30497000, 3557516, 157997916, 105684803, 3090082756331
4, 22151168, 4643148, 42752336, 38109188, 4634732, 138192413, 48558940, 3090076754669
5, 22151168, 5720364, 51441740, 45721376, 5711948, 142699591, 48558924, 3090070614325
6, 22151168, 8186060, 61845320, 53659260, 8177644, 168435571, 114749816, 3090061632200
7, 22151168, 10631852, 72292420, 61660568, 10623436, 162811037, 112693904, 3090052886058
8, 22282240, 12061836, 81501824, 69439988, 12053420, 145195373, 62883825, 3090046224124
9, 23724032, 13491820, 90711228, 77219408, 13483404, 146477989, 62884065, 3090039522717
10, 25165824, 14921804, 99920632, 84998828, 14913388, 149408857, 62884305, 3090032731122
11, 26607616, 16351788, 109130036, 92778248, 16343372, 151283860, 62884545, 3090025881827
12, 28049408, 17781772, 118339440, 100557668, 17773356, 152939094, 62884707, 3090018981535
13, 32964608, 22104428, 130977196, 108872768, 22096012, 199244354, 200974201, 3090006381066
14, 36896768, 26041740, 143181992, 117140252, 26033324, 190939073, 181881573, 3089994626964
15, 38273024, 27831724, 152911396, 125079672, 27823308, 149989035, 77329301, 3089987369025
16, 40042496, 29621708, 162640800, 133019092, 29613292, 152165867, 77329317, 3089980044106
17, 41811968, 31411692, 172370204, 140958512, 31403276, 153521742, 77329333, 3089972677468
18, 43646976, 33201676, 182099608, 148897932, 33193260, 153521816, 77329349, 3089965310827
19, 45416448, 34991660, 191829012, 156837352, 34983244, 154718689, 77329365, 3089957907359
20, 45416448, 12638876, 203046740, 190407864, 34983244, 1190583776, 2756791, 3089902629307
21, 45416448, 12639072, 214256244, 201617172, 34983244, 1190582872, 2752133, 3089865638858
22, 45416448, 12639268, 225465748, 212826480, 34983244, 1190582946, 2752231, 3089828648404
23, 45416448, 12639464, 236675252, 224035788, 34983244, 1190582872, 2752329, 3089791657949
24, 45416448, 12639660, 247884756, 235245096, 34983244, 1190582946, 2752427, 3089754667489
25, 45416448, 13909720, 257294320, 243384600, 34983244, 143772622, 53895840, 3089748324196
26, 45416448, 15179704, 266703724, 251524020, 34983244, 143283196, 53892364, 3089741996220
27, 45416448, 16449688, 276113128, 259663440, 34983244, 143283270, 53892476, 3089735668238
28, 45416448, 17719672, 285522532, 267802860, 34983244, 142730384, 53892588, 3089729357187
29, 45416448, 18989656, 294931936, 275942280, 34983244, 141843122, 53892700, 3089723073371
30, 45416448, 20468408, 305265888, 284797480, 34983244, 150433618, 66878882, 3089716118410
31, 45416448, 22018392, 315795232, 293776840, 34983244, 154133306, 71281526, 3089708912639
32, 45416448, 23568376, 325324640, 301756264, 34983244, 150523270, 71040240, 3089701833185
33, 45416448, 24818328, 334554016, 309735688, 34983244, 144222302, 56229954, 3089695405616
34, 45416448, 25728312, 343443424, 317715112, 34983244, 137082382, 39447558, 3089689716673
35, 45416448, 11925268, 349052956, 337127688, 34983244, 565602770, 359, 3089662884466
36, 45416448, 6324764, 354662392, 348337628, 34983244, 565601733, 2758162, 3089645163509
37, 45416448, 11926004, 360263632, 348337628, 34983244, 565601866, 359, 3089627525146
38, 45416448, 6324960, 365873068, 359548108, 34983244, 565601818, 2753323, 3089609806983
39, 45416448, 11926200, 371474308, 359548108, 34983244, 565601866, 359, 3089592173368
40, 45416448, 7755020, 380683804, 372928784, 34983244, 149403767, 64233640, 3089585328243
41, 45416448, 9185004, 389893212, 380708208, 34983244, 151277973, 62879088, 3089578479172
42, 45416448, 10614988, 399102620, 388487632, 34983244, 152932541, 62879328, 3089571579184
43, 45416448, 14937644, 411740380, 396802736, 34983244, 199219785, 200971176, 3089558979409
44, 45416448, 12948908, 423953380, 411004472, 34983244, 190919977, 181883378, 3089534640797
45, 45416448, 14738892, 433682788, 418943896, 34983244, 149983503, 77327922, 3089527382946
46, 45416448, 16528876, 443412196, 426883320, 34983244, 152158131, 77327938, 3089520058183
47, 45416448, 18318860, 453141604, 434822744, 34983244, 153513503, 77327954, 3089512691715
48, 45416448, 13388588, 462879212, 449490624, 34983244, 153513503, 77329814, 3089489038629
49, 45416448, 15178572, 472608620, 457430048, 34983244, 154710731, 77328626, 3089481635272
50, 212402176, 15178876, 661752936, 646574060, 34983244, 2729269387, 45503708, 3089394648477
51, 212402176, 22648296, 669222356, 646574060, 34983244, 122467001, 359, 3089390635615
52, 212402176, 16497640, 677739728, 661242088, 34983244, 137753227, 62266162, 3089384215399
53, 212402176, 24658848, 685900936, 661242088, 34983244, 132805743, 359, 3089379879373
54, 212402176, 18734856, 695806276, 677071420, 34983244, 157982444, 105689262, 3089371482747
55, 212402176, 19812072, 704495684, 684683612, 34983244, 138192709, 48559658, 3089365480898
56, 212402176, 20889288, 713185092, 692295804, 34983244, 142699665, 48559642, 3089359340374
57, 212402176, 23354984, 723588676, 700233692, 34983244, 168435349, 114750534, 3089350358047
58, 212402176, 6956780, 734043980, 727087200, 34983244, 162810445, 112694510, 3089335013363
59, 212402176, 8386764, 743253388, 734866624, 34983244, 145194781, 62879328, 3089328351460
60, 212402176, 9816748, 752462796, 742646048, 34983244, 146471451, 62879568, 3089321650237
61, 212402176, 7754476, 761680404, 753925928, 34983244, 149402467, 62885444, 3089305904800
62, 212402176, 9184460, 770889812, 761705352, 34983244, 151277751, 62880690, 3089299055626
63, 212402176, 10614444, 780099220, 769484776, 34983244, 152932615, 62879056, 3089292155644
64, 212402176, 14937100, 792736980, 777799880, 34983244, 199219637, 200970904, 3089279535972
65, 212402176, 12948908, 804949980, 792001072, 34983244, 190919977, 181883378, 3089255080740
66, 212402176, 14738892, 814679388, 799940496, 34983244, 149983503, 77327922, 3089247822889
67, 212402176, 16528876, 824408796, 807879920, 34983244, 152158131, 77327938, 3089240498126
68, 212402176, 18318860, 834138204, 815819344, 34983244, 153513503, 77327954, 3089233131658
69, 212402176, 13388588, 843875812, 830487224, 34983244, 153513503, 77329814, 3089209366980
70, 212402176, 15178572, 853605220, 838426648, 34983244, 154710731, 77328626, 3089201963623
71, 212402176, 15178844, 864814752, 849635908, 34983244, 1190583776, 2755857, 3089164970412
72, 212402176, 15179040, 876024260, 860845220, 34983244, 1190582946, 2752357, 3089127979799
73, 212402176, 15179236, 887233768, 872054532, 34983244, 1190582872, 2752455, 3089090989185
74, 212402176, 15179432, 898443276, 883263844, 34983244, 1190582946, 2752553, 3089053998566
75, 212402176, 15179628, 909652784, 894473156, 34983244, 1190582872, 2752651, 3089017007947

