Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 33554432, 11403840, 11403840, 0, 0, 7367, 318
1, 33554432, 21929060, 21929060, 0, 0, 137850908, 318
2, 33554432, 32009852, 32009852, 0, 0, 155709022, 318
3, 67108864, 44257428, 44257428, 0, 0, 150361534, 318
4, 100663296, 24345348, 54982324, 30636976, 11465700, 178917051, 113926035
5, 100663296, 35066148, 65703124, 30636976, 11465700, 157281198, 318
6, 100663296, 47929668, 78566644, 30636976, 11465700, 161302974, 394
7, 100663296, 29790924, 91482396, 61691472, 14720428, 190177671, 218112398
8, 100663296, 41151724, 102843196, 61691472, 14720428, 185516670, 318
9, 100663296, 52512524, 114203996, 61691472, 14720428, 165641768, 394
10, 100663296, 37815724, 125568900, 87753176, 24296076, 166780574, 349186238
11, 100663296, 49176524, 136929700, 87753176, 24296076, 169396767, 394
12, 100663296, 60537324, 148290500, 87753176, 24296076, 171069614, 394
13, 100663296, 76183564, 163936740, 87753176, 24296076, 172546334, 394
14, 134217728, 98918028, 179043340, 87753176, 24296076, 225668825, 459103408
15, 134217728, 45969076, 191044140, 145075064, 31809428, 320621974, 36619803
16, 134217728, 57969876, 203044940, 145075064, 31809428, 172026767, 394
17, 134217728, 80238300, 215049844, 145075064, 31809428, 173966734, 536966360
18, 134217728, 58684668, 227050644, 168365976, 44525020, 257010950, 93271720
19, 134217728, 70685468, 239051444, 168365976, 44525020, 175176478, 394
20, 134217728, 84286424, 252652400, 168365976, 44525020, 176245048, 394
21, 134217728, 97887264, 266253240, 168365976, 44525020, 1005087270, 394
22, 134217728, 111488104, 279854080, 168365976, 44525020, 1005086157, 394
23, 201326592, 136822468, 293459024, 168365976, 44525020, 1005086480, 529606659
24, 201326592, 55743776, 307059868, 251316092, 44525020, 1095476170, 416039469
25, 201326592, 67344772, 318660864, 251316092, 44525020, 1005088739, 394
26, 201326592, 78945572, 330261664, 251316092, 44525020, 164497859, 394
27, 201326592, 90546372, 341862464, 251316092, 44525020, 164096563, 394
28, 201326592, 113609900, 353467368, 251316092, 44525020, 164096346, 544367471
29, 201326592, 58101844, 365068172, 306966328, 44525020, 243017842, 119502780
30, 201326592, 70865784, 377832112, 306966328, 44525020, 162916562, 394
31, 201326592, 83876504, 390842832, 306966328, 44525020, 174227404, 394
32, 201326592, 95637304, 402603632, 306966328, 44525020, 178233234, 394
33, 201326592, 107023064, 413989392, 306966328, 44525020, 171126418, 394
34, 201326592, 26977128, 424954296, 397977168, 44525020, 164197805, 430464208
35, 201326592, 33778088, 431755256, 397977168, 44525020, 156346634, 318
36, 201326592, 40578928, 438556096, 397977168, 44525020, 479057974, 394
37, 201326592, 47379768, 445356936, 397977168, 44525020, 479057078, 394
38, 201326592, 28408088, 452161880, 423753792, 44525020, 479056861, 407993116
39, 201326592, 35208932, 458962724, 423753792, 44525020, 479057077, 318
40, 201326592, 46569848, 470323640, 423753792, 44525020, 479057095, 394
41, 201326592, 57930648, 481684440, 423753792, 44525020, 169397735, 394
42, 201326592, 69291448, 493045240, 423753792, 44525020, 171069758, 394
43, 201326592, 94096164, 508695584, 423753792, 44525020, 172546729, 482785051
44, 201326592, 44248916, 523798084, 479549168, 44525020, 333314278, 17007490
45, 201326592, 65886568, 535802992, 479549168, 44525020, 216867295, 525897276
46, 201326592, 44332940, 547803796, 503470856, 44525020, 253861094, 46831891
47, 201326592, 56333744, 559804600, 503470856, 44525020, 173967256, 394
48, 201326592, 68334544, 571805400, 503470856, 44525020, 175176478, 394
49, 201326592, 94877684, 583810304, 503470856, 44525020, 175176729, 590293864
50, 268435456, 263642288, 817524644, 553882356, 44525020, 258079574, 177470835
51, 301989888, 40170516, 826773156, 786602640, 44525020, 3184249859, 53656272
52, 301989888, 50694788, 837297428, 786602640, 44525020, 137848995, 394
53, 301989888, 60775588, 847378228, 786602640, 44525020, 155709718, 394
54, 301989888, 73023172, 859625812, 786602640, 44525020, 150362230, 394
55, 301989888, 83743972, 870346612, 786602640, 44525020, 178917440, 394
56, 301989888, 94464772, 881067412, 786602640, 44525020, 157281270, 394
57, 301989888, 44084992, 893935036, 849850044, 44525020, 161303190, 180383561
58, 301989888, 56996644, 906846688, 849850044, 44525020, 190178031, 394
59, 301989888, 68357444, 918207488, 849850044, 44525020, 185516742, 394
60, 301989888, 79718244, 929568288, 849850044, 44525020, 165642001, 394
61, 301989888, 91079044, 940929088, 849850044, 44525020, 166780790, 394
62, 301989888, 43185480, 952293992, 909108512, 44525020, 169396550, 380486170
63, 301989888, 54546284, 963654796, 909108512, 44525020, 171070263, 394
64, 301989888, 70192524, 979301036, 909108512, 44525020, 172546550, 394
65, 301989888, 85295020, 994403532, 909108512, 44525020, 225669024, 394
66, 301989888, 97295820, 1006404332, 909108512, 44525020, 216866934, 394
67, 301989888, 115424516, 1018409236, 909108512, 44525020, 172026550, 441535160
68, 301989888, 62475584, 1030410040, 967934456, 48315936, 255801566, 71857056
69, 301989888, 74476388, 1042410844, 967934456, 48315936, 175176694, 394
70, 301989888, 86477188, 1054411644, 967934456, 48315936, 175176767, 394
71, 301989888, 100078144, 1068012600, 967934456, 48315936, 176245030, 394
72, 301989888, 113678984, 1081613440, 967934456, 48315936, 1005087486, 394
73, 301989888, 139113060, 1095218464, 967934456, 48315936, 1005088918, 535487193
74, 301989888, 57934824, 1108819384, 1050884560, 48315936, 1095478565, 410484736
75, 301989888, 71535820, 1122420380, 1050884560, 48315936, 1005091177, 394

