Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 9633792, 7470828, 7470828, 0, 0, 118075420, 200, 3090104798306
1, 18153472, 15979992, 15979992, 0, 0, 133365456, 200, 3090100443252
2, 26345472, 24141188, 24141188, 0, 0, 128489313, 200, 3090096240880
3, 36241408, 34038320, 34038320, 0, 0, 153528167, 200, 3090091255035
4, 44892160, 42719516, 42719516, 0, 0, 133878616, 200, 3090086882837
5, 53608448, 51400712, 51400712, 0, 0, 138385927, 200, 3090082372046
6, 63963136, 61796084, 61796084, 0, 0, 163969708, 200, 3090077061169
7, 74448896, 72234976, 72234976, 0, 0, 158373268, 200, 3090071922152
8, 83623936, 81436172, 81436172, 0, 0, 140883602, 200, 3090067330602
9, 92798976, 90637368, 90637368, 0, 0, 142160568, 200, 3090062699729
10, 102039552, 99838564, 99838564, 0, 0, 145092235, 200, 3090057978651
11, 111214592, 109039760, 109039760, 0, 0, 146966424, 200, 3090053199937
12, 120455168, 118240956, 118240956, 0, 0, 148622161, 200, 3090048370246
13, 133038080, 130870504, 130870504, 0, 0, 194605954, 200, 3090042099946
14, 145227776, 143067092, 143067092, 0, 0, 186357008, 200, 3090036086691
15, 154992640, 152788288, 152788288, 0, 0, 145675593, 200, 3090031343787
16, 164691968, 162509484, 162509484, 0, 0, 147849570, 200, 3090026533991
17, 174391296, 172230680, 172230680, 0, 0, 149205164, 200, 3090021682392
18, 184156160, 181951876, 181951876, 0, 0, 149205815, 200, 3090016830866
19, 193855488, 191673072, 191673072, 0, 0, 150402688, 200, 3090011942513
20, 205062144, 202874392, 202874392, 0, 0, 1183443345, 200, 3089975257185
21, 216268800, 214075688, 214075688, 0, 0, 1183442733, 200, 3089938571727
22, 227475456, 225276984, 225276984, 0, 0, 1183442807, 200, 3089901886266
23, 238682112, 236478280, 236478280, 0, 0, 1183442807, 200, 3089865200805
24, 249888768, 247679576, 247679576, 0, 0, 1183442807, 200, 3089828515344
25, 259260416, 257080932, 257080932, 0, 0, 139102216, 200, 3089823976948
26, 268632064, 266482128, 266482128, 0, 0, 138612860, 200, 3089819453728
27, 278069248, 275883324, 275883324, 0, 0, 138613008, 200, 3089814930323
28, 287440896, 285284524, 285284524, 0, 0, 138060048, 200, 3089810423881
29, 296878080, 294685724, 294685724, 0, 0, 137173437, 200, 3089805944719
30, 307167232, 305011468, 305011468, 0, 0, 145768326, 200, 3089801194145
31, 317718528, 315532604, 315532604, 0, 0, 149469434, 200, 3089796328214
32, 327221248, 325053804, 325053804, 0, 0, 145853718, 200, 3089791581074
33, 336461824, 334274972, 334274972, 0, 0, 139551256, 200, 3089787030102
34, 345309184, 343156172, 343156172, 0, 0, 132409576, 200, 3089782701335
35, 350945280, 348757496, 348757496, 0, 0, 562032386, 200, 3089765178236
36, 356515840, 354358728, 354358728, 0, 0, 562031271, 200, 3089747655032
37, 362151936, 359959960, 359959960, 0, 0, 562031700, 200, 3089730131845
38, 367722496, 365561192, 365561192, 0, 0, 562031197, 200, 3089712608643
39, 373358592, 371162424, 371162424, 0, 0, 562031700, 200, 3089695085456
40, 382533632, 380363716, 380363716, 0, 0, 145092196, 200, 3089690364069
41, 391774208, 389564916, 389564916, 0, 0, 146967149, 200, 3089685585039
42, 400949248, 398766116, 398766116, 0, 0, 148621806, 200, 3089680755127
43, 413597696, 411395668, 411395668, 0, 0, 194605791, 200, 3089674484539
44, 425787392, 423592260, 423592260, 0, 0, 186356786, 200, 3089668471058
45, 435486720, 433313460, 433313460, 0, 0, 145675090, 200, 3089663727814
